"site_id","AmpRatio","PhaseLag_d","Ratio_Mean","TS__Slope","AdjRsqr","YInt","max_conseq_missing_days","year"
"12442500",0.82,7.69,0.92,0.76,0.9,1.7,27,"2019"
"12447200",0.88,6.76,1.04,0.82,0.93,2.54,38,"2019"
"12447302",0.97,8.71,0.97,0.84,0.84,2.17,137,"2019"
"12447390",0.5,11.58,1.05,0.42,0.78,3.23,1,"2019"
"12450480",0.8,9.32,0.88,0.7,0.82,2.44,137,"2019"
"12462500",0.73,13.15,0.9,0.66,0.86,2.55,13,"2019"
"12514400",0.92,23.71,0.85,0.91,0.79,-2.5,2,"2019"
"13334300",0.81,15.42,0.97,0.7,0.83,3.44,2,"2019"
"13343595",0.73,16.96,1.01,0.59,0.76,4.66,1,"2019"
"13343860",0.75,20.43,1.05,0.59,0.74,5.1,1,"2019"
"13352600",0.74,21.5,1.06,0.59,0.75,5.26,5,"2019"
"13353010",0.75,22.41,1.05,0.6,0.74,5.23,1,"2019"
"14019220",0.91,22.32,0.9,0.86,0.76,-0.89,1,"2019"
"14019240",0.74,23.81,1.03,0.6,0.76,5.02,6,"2019"
"453712121071200",1.02,17.15,0.93,0.91,0.75,-0.53,1,"2019"
"453845121562000",1.36,5.96,0.94,1.08,0.75,-1.83,1,"2019"
"453845121564001",1.35,5.91,0.94,1.08,0.76,-1.8,1,"2019"
"454249120423500",0.81,21.72,1.1,0.66,0.77,5.02,1,"2019"
"454314120413701",0.96,17.8,0.96,0.92,0.81,-0.76,1,"2019"
"12056500",0.62,13.7,0.77,0.55,0.85,2.1,11,"2020"
"12098700",0.66,2.71,0.76,0.62,0.92,1.58,6,"2020"
"12100490",0.75,2.95,0.8,0.71,0.93,1.04,13,"2020"
"12101100",0.45,26.03,0.85,0.33,0.59,6.04,7,"2020"
"12101102",0.75,4.11,0.82,0.71,0.93,1.35,20,"2020"
"12113390",0.86,4.01,0.92,0.78,0.89,1.74,1,"2020"
"12115000",0.5,13.94,0.87,0.4,0.8,3.64,19,"2020"
"12116500",0.83,13.31,0.96,0.7,0.81,2.65,1,"2020"
"12117600",0.46,2.57,0.87,0.4,0.88,5.04,1,"2020"
"12119000",0.63,2.28,0.87,0.57,0.92,3.62,13,"2020"
"12137290",0.61,20.37,0.74,0.53,0.8,1.87,1,"2020"
"12137800",0.54,8.01,0.78,0.47,0.81,3.03,4,"2020"
"12138160",0.54,23.99,0.81,0.42,0.66,4.06,8,"2020"
"12147470",0.42,16.21,0.77,0.37,0.84,3.9,7,"2020"
"12147500",0.43,12.21,0.79,0.38,0.87,3.99,7,"2020"
"12147600",0.64,14.16,0.75,0.59,0.89,1.47,39,"2020"
"12148000",0.48,13.29,0.83,0.39,0.77,4.13,5,"2020"
"12148300",0.51,7.79,0.83,0.45,0.89,3.81,1,"2020"
"12178000",0.41,38.28,0.83,0.27,0.52,5.04,1,"2020"
"12181000",0.44,30.74,0.78,0.34,0.69,4.37,1,"2020"
"12200500",0.74,17.11,0.88,0.64,0.83,2.66,1,"2020"
"12205000",0.42,9.93,0.75,0.38,0.88,2.88,2,"2020"
"12209490",0.62,15.18,0.73,0.57,0.86,1.58,3,"2020"
"12210000",0.8,14.31,0.82,0.75,0.85,0.66,3,"2020"
"12210700",0.62,7.22,0.82,0.58,0.91,2.49,2,"2020"
"12210900",0.82,1.3,0.9,0.78,0.93,1.27,4,"2020"
"12212050",0.69,-5.08,1.04,0.63,0.93,4.42,2,"2020"
"12212430",0.8,-5.29,0.99,0.74,0.94,2.72,4,"2020"
"12213100",0.76,4.8,0.88,0.71,0.9,1.8,4,"2020"
"12398600",0.89,14.89,1.28,0.78,0.83,4.08,9,"2020"
"12438000",0.51,46.51,1.18,0.24,0.14,9.9,138,"2020"
"12439500",0.93,11.76,1.13,0.83,0.89,3.14,17,"2020"
"12442500",0.68,10.74,0.88,0.65,0.88,2.34,13,"2020"
"12447200",0.78,8.8,0.98,0.73,0.87,2.75,50,"2020"
"12447302",0.83,7.78,0.92,0.76,0.83,1.96,138,"2020"
"12447390",0.58,4.37,0.83,0.53,0.86,1.73,17,"2020"
"12450480",0.74,7.79,0.88,0.71,0.84,1.88,138,"2020"
"12462500",0.67,14.53,0.82,0.65,0.88,1.86,6,"2020"
"12514400",0.7,28.04,0.89,0.69,0.79,1.21,3,"2020"
"13334300",0.83,15.13,0.91,0.71,0.83,2.57,2,"2020"
"13343595",0.76,17.35,0.91,0.58,0.71,3.97,1,"2020"
"13343860",0.77,21.25,0.95,0.59,0.7,4.35,3,"2020"
"13352600",0.77,23.58,0.96,0.59,0.71,4.46,2,"2020"
"13353010",0.77,25.5,0.96,0.59,0.69,4.67,3,"2020"
"14019220",0.72,29.19,0.95,0.71,0.78,1.67,1,"2020"
"14019240",0.74,26.66,0.95,0.56,0.69,4.85,1,"2020"
"453712121071200",0.75,23.13,1.01,0.73,0.78,2.54,1,"2020"
"453845121562000",0.94,17.49,1.06,0.83,0.76,2.15,3,"2020"
"453845121564001",0.96,16.73,1.05,0.83,0.79,1.97,1,"2020"
"454249120423500",0.8,23.68,1.01,0.62,0.71,4.72,1,"2020"
"454314120413701",0.74,24.98,1.03,0.73,0.79,2.43,1,"2020"
"12056500",0.11,60.5,0.12,0.39,0.81,4.46,1,"2021"
"12098700",0.18,42.17,0.19,0.59,0.86,2.31,1,"2021"
"12100490",0.38,32,0.37,0.71,0.9,1.49,1,"2021"
"12101100",1.12,-26.66,-0.68,0.18,0.35,12.26,1,"2021"
"12101102",0.51,18.31,0.52,0.71,0.91,1.72,1,"2021"
"12113390",0.88,135.21,-0.43,0.6,0.68,4.77,1,"2021"
"12115000",0.06,65.75,0.06,0.32,0.69,5.64,1,"2021"
"12116500",0.16,106.63,0.05,0.54,0.71,7.09,1,"2021"
"12117600",0.12,83.45,0.11,0.41,0.82,6.32,1,"2021"
"12119000",0.25,94.8,0.12,0.49,0.87,5.36,1,"2021"
"12137290",0.1,36.73,0.12,0.38,0.82,4.82,1,"2021"
"12137800",0.14,21.54,0.2,0.31,0.85,7.58,1,"2021"
"12138160",0.1,87.52,0.12,0.28,0.68,8.76,1,"2021"
"12147470",0.08,102.29,0.05,0.32,0.83,5.43,1,"2021"
"12147500",0.12,126.27,0,0.33,0.82,5.48,1,"2021"
"12147600",0.12,36.12,0.13,0.41,0.84,4.23,1,"2021"
"12148000",0.31,-14.74,-0.2,0.07,0.2,9.51,1,"2021"
"12148300",0.27,-28.65,-0.13,0.26,0.73,7.3,1,"2021"
"12178000",0.13,-1.16,0.19,0.11,0.77,8.86,1,"2021"
"12181000",0.3,-3.7,0.36,0.22,0.89,7.38,1,"2021"
"12200500",0.62,0.06,0.67,0.49,0.82,5.47,1,"2021"
"12205000",0.07,32.14,0.09,0.31,0.77,4.29,1,"2021"
"12209490",0.17,35.52,0.19,0.56,0.88,3,1,"2021"
"12210000",0.25,26.99,0.27,0.64,0.87,2.53,1,"2021"
"12210700",0.29,17.74,0.33,0.56,0.9,3.37,1,"2021"
"12210900",0.32,26.57,0.34,0.78,0.91,2.15,1,"2021"
"12212050",0.19,46.97,0.23,0.62,0.88,4.73,1,"2021"
"12212430",0.15,89.33,0.1,0.54,0.86,5.25,1,"2021"
"12213100",0.56,9.02,0.6,0.66,0.84,3.02,1,"2021"
"12398600",0.57,-28.25,-0.44,0.43,0.52,10.2,1,"2021"
"12438000",0.08,68.39,0.17,0.18,0.81,15.11,1,"2021"
"12439500",0.27,110.38,-0.01,0.51,0.81,9.7,1,"2021"
"12442500",0.24,51.21,0.17,0.63,0.86,3.46,1,"2021"
