"","Date","ppt..mm.","tmin..degrees.C.","tmean..degrees.C.","tmax..degrees.C.","tdmean..degrees.C.","vpdmin..hPa.","vpdmax..hPa.","agency_cd","site_no","X_00010_00001","X_00010_00001_cd","X_00010_00003","X_00010_00003_cd","X_00060_00003","X_00060_00003_cd","yr","mo","waterYear","doy"
"153",2012-06-01,0,7.1,16.5,25.9,5.1,2.33,24.68,"USGS","13192200",12.3,"A",9.5,"A",1950,"A","2012",6,2012,153
"154",2012-06-02,1.16,9.2,19.1,29,5.6,2.67,32.13,"USGS","13192200",12.4,"A",9.6,"A",1940,"A","2012",6,2012,154
"155",2012-06-03,0,10.9,18.8,26.6,8.3,3.08,23.73,"USGS","13192200",12.3,"A",9.7,"A",1940,"A","2012",6,2012,155
"156",2012-06-04,0,10.6,20,29.5,7.5,2.77,31.68,"USGS","13192200",12.3,"A",9.7,"A",1950,"A","2012",6,2012,156
"157",2012-06-05,0.38,8.5,20.1,31.8,6.1,2.27,38.55,"USGS","13192200",10.5,"A",8.4,"A",2060,"A","2012",6,2012,157
"158",2012-06-06,3.89,2.1,7.1,12.1,2.8,0.52,6.88,"USGS","13192200",10.4,"A",8.3,"A",1970,"A","2012",6,2012,158
"159",2012-06-07,0,1,8.4,15.8,-1.7,0.41,13.37,"USGS","13192200",11.5,"A",8.7,"A",1920,"A","2012",6,2012,159
"160",2012-06-08,1.45,1.7,12.4,23.1,0.3,0.85,23.77,"USGS","13192200",10.1,"A",8.6,"A",1910,"A","2012",6,2012,160
"161",2012-06-09,0.62,2.7,10.4,18,1.3,0.85,14.55,"USGS","13192200",8.5,"A",7.6,"A",1920,"A","2012",6,2012,161
"162",2012-06-10,5.27,2.1,7.6,13.2,0.6,0.61,9.62,"USGS","13192200",11.4,"A",8.7,"A",1920,"A","2012",6,2012,162
"163",2012-06-11,0,3.1,10.8,18.6,1.7,1.03,14.45,"USGS","13192200",12.1,"A",9.3,"A",1900,"A","2012",6,2012,163
"164",2012-06-12,0,3.6,13.6,23.7,0.8,1.35,23.47,"USGS","13192200",11.6,"A",9.2,"A",1910,"A","2012",6,2012,164
"165",2012-06-13,0,7.8,18.2,28.5,3.7,3.6,32.73,"USGS","13192200",12.4,"A",10.1,"A",1890,"A","2012",6,2012,165
"166",2012-06-14,0,6.7,15.1,23.5,0.4,2.86,23.4,"USGS","13192200",12.1,"A",9.5,"A",1880,"A","2012",6,2012,166
"167",2012-06-15,0,5.6,15.4,25.2,-3.1,3.63,28.18,"USGS","13192200",12.3,"A",9.7,"A",1890,"A","2012",6,2012,167
"168",2012-06-16,0,7.2,16.7,26.1,-0.5,3.93,28.16,"USGS","13192200",12.3,"A",9.7,"A",1880,"A","2012",6,2012,168
"169",2012-06-17,0,6.9,17.1,27.4,0.3,3.54,31.02,"USGS","13192200",12.5,"A",9.8,"A",2140,"A","2012",6,2012,169
"170",2012-06-18,0,8.8,19.3,29.8,2.9,4.36,33.76,"USGS","13192200",11.9,"A",9.8,"A",2160,"A","2012",6,2012,170
"171",2012-06-19,0,3.7,12.3,20.9,-0.6,2.27,19.45,"USGS","13192200",11.6,"A",9.2,"A",2140,"A","2012",6,2012,171
"172",2012-06-20,0,2.1,10,18,-1.2,1.64,15.59,"USGS","13192200",12.1,"A",9.4,"A",2130,"A","2012",6,2012,172
"173",2012-06-21,0,3,13.7,24.4,-0.4,1.8,25.53,"USGS","13192200",12.1,"A",9.7,"A",2130,"A","2012",6,2012,173
"174",2012-06-22,0,8.3,20.1,31.8,0.6,4.96,41.63,"USGS","13192200",12.2,"A",10.2,"A",2120,"A","2012",6,2012,174
"175",2012-06-23,0,11.3,21.2,31.1,1.2,6.03,40.29,"USGS","13192200",12.4,"A",10.1,"A",2120,"A","2012",6,2012,175
