"","Date","ppt..mm.","tmin..degrees.C.","tmean..degrees.C.","tmax..degrees.C.","tdmean..degrees.C.","vpdmin..hPa.","vpdmax..hPa.","agency_cd","site_no","X_00010_00001","X_00010_00001_cd","X_00010_00003","X_00010_00003_cd","X_00060_00003","X_00060_00003_cd","yr","mo","doy"
"146",2017-06-01,0.02,15.4,23,30.6,9.5,5.41,32.38,"USGS","13266000",13.8,"A",13.1,"A",3340,"A","2017",6,152
"147",2017-06-02,3.96,10.1,16.3,22.5,11.6,0.37,14.39,"USGS","13266000",13.3,"A",12.1,"A",3260,"A","2017",6,153
"148",2017-06-03,0,10.7,19.2,27.6,9.4,0.78,26.85,"USGS","13266000",13.7,"A",13.1,"A",2930,"A","2017",6,154
"149",2017-06-04,0,13.3,21.6,30,11.8,2.42,29.27,"USGS","13266000",15,"A",13.5,"A",2930,"A","2017",6,155
"150",2017-06-05,3.47,8.8,19.3,29.9,9.6,1.22,30.43,"USGS","13266000",13.8,"A",13.1,"A",3230,"A","2017",6,156
"151",2017-06-06,0.33,8.4,16.6,24.8,4.3,2.01,25.1,"USGS","13266000",13.7,"A",12.9,"A",2850,"A","2017",6,157
"152",2017-06-07,0,9.9,19.6,29.2,8.1,2.63,30.77,"USGS","13266000",15.3,"A",13.6,"A",2580,"A","2017",6,158
"153",2017-06-08,0,13.4,23.5,33.6,10.9,3.35,39.55,"USGS","13266000",14.3,"A",13.7,"A",2700,"A","2017",6,159
"154",2017-06-09,1.07,10.1,16.6,23,8.6,1.84,18.56,"USGS","13266000",13.4,"A",12.2,"A",2540,"A","2017",6,160
"155",2017-06-10,1.59,8.9,15.8,22.6,6.5,1.44,19.28,"USGS","13266000",13.6,"A",12.3,"A",2320,"A","2017",6,161
"156",2017-06-11,0.87,6.8,13.1,19.4,4.4,1.5,15.53,"USGS","13266000",12.6,"A",11.4,"A",2040,"A","2017",6,162
"157",2017-06-12,7.66,6.3,13.4,20.6,7,0.82,15.8,"USGS","13266000",12.7,"A",12.1,"A",1970,"A","2017",6,163
"158",2017-06-13,2.88,9.8,14.3,18.7,9.2,0.91,9.72,"USGS","13266000",13.9,"A",12.5,"A",1890,"A","2017",6,164
"159",2017-06-14,0,8.2,15,21.8,5.9,1.1,17.33,"USGS","13266000",14.7,"A",13.3,"A",1660,"A","2017",6,165
"160",2017-06-15,0,8.3,16.3,24.3,5.1,1.22,23.01,"USGS","13266000",14.4,"A",13.5,"A",1570,"A","2017",6,166
"161",2017-06-16,0.06,10.9,18.2,25.6,9,1.79,22.37,"USGS","13266000",14.3,"A",13.2,"A",1620,"A","2017",6,167
"162",2017-06-17,0,12.6,18.1,23.6,10.1,2.34,16.84,"USGS","13266000",16.2,"A",14,"A",1680,"A","2017",6,168
"163",2017-06-18,0,10.6,18,25.5,7.4,1.91,24.65,"USGS","13266000",18.7,"A",16.5,"A",1560,"A","2017",6,169
"164",2017-06-22,0,14.3,22.3,30.2,4.5,7.05,35.56,"USGS","13266000",19.9,"A",18,"A",1360,"A","2017",6,173
"165",2017-06-23,0,10.9,19.7,28.5,1.9,5.46,33.58,"USGS","13266000",20.1,"A",17.6,"A",1200,"A","2017",6,174
"166",2017-06-24,0,10.4,19.7,29,3.1,4.59,34.17,"USGS","13266000",21.2,"A",18.6,"A",1070,"A","2017",6,175
