"","Date","ppt..mm.","tmin..degrees.C.","tmean..degrees.C.","tmax..degrees.C.","tdmean..degrees.C.","vpdmin..hPa.","vpdmax..hPa.","agency_cd","site_no","X_00010_00001","X_00010_00001_cd","X_00010_00003","X_00010_00003_cd","X_00060_00003","X_00060_00003_cd","yr","mo","waterYear","doy"
"130",2008-06-01,6.86,9.3,17.8,26.3,10,0.44,23.98,"USGS","13341050",9.5,"A",9,"A",49900,"A","2008",6,2008,153
"131",2008-06-02,4.34,10.1,15.3,20.5,11.1,0.39,10.89,"USGS","13341050",8.5,"A",8,"A",59400,"A","2008",6,2008,154
"132",2008-06-03,2.63,7.1,13,19,5.3,1.04,14.1,"USGS","13341050",8,"A",7.5,"A",57700,"A","2008",6,2008,155
"133",2008-06-04,4.41,6.9,12,17.1,7.6,0.54,10.46,"USGS","13341050",8,"A",7.5,"A",55400,"A","2008",6,2008,156
"134",2008-06-05,0.35,7.7,10.9,14.2,5.8,1.23,6.93,"USGS","13341050",8,"A",7.5,"A",52500,"A","2008",6,2008,157
"135",2008-06-06,1.51,7.4,13.3,19.1,6.9,0.45,12.85,"USGS","13341050",8.5,"A",8.5,"A",48700,"A","2008",6,2008,158
"136",2008-06-07,5.97,6.6,10.5,14.4,3.9,0.89,9.29,"USGS","13341050",8,"A",7.5,"A",46700,"A","2008",6,2008,159
"137",2008-06-08,4.38,6.2,9.4,12.7,5.4,0.79,5.93,"USGS","13341050",8.5,"A",8,"A",43700,"A","2008",6,2008,160
"138",2008-06-09,0,6.3,13.1,19.9,5.4,1,15.17,"USGS","13341050",9,"A",8.5,"A",42200,"A","2008",6,2008,161
"139",2008-06-10,1.55,4.9,12.4,19.8,6.7,1.17,12.91,"USGS","13341050",9,"A",8.5,"A",46900,"A","2008",6,2008,162
"140",2008-06-11,8.66,4.5,7.8,11,2.8,0.68,5.99,"USGS","13341050",8,"A",7,"A",48700,"A","2008",6,2008,163
"141",2008-06-12,8.97,5.4,7.6,9.9,6.4,0.4,1.91,"USGS","13341050",7.5,"A",7,"A",55000,"A","2008",6,2008,164
"142",2008-06-13,0,6.3,12.3,18.3,7.9,0.15,9.58,"USGS","13341050",9,"A",8,"A",52600,"A","2008",6,2008,165
"143",2008-06-14,0,7.2,16.1,24.9,6.3,1.24,22.68,"USGS","13341050",10,"A",9.5,"A",50500,"A","2008",6,2008,166
"144",2008-06-15,0,7,15.2,23.3,3.3,2.04,21.66,"USGS","13341050",10.5,"A",10,"A",50700,"A","2008",6,2008,167
"145",2008-06-16,0,7,16.5,25.9,4.5,1.72,26.28,"USGS","13341050",10.5,"A",10,"A",51200,"A","2008",6,2008,168
"146",2008-06-17,0,8.2,18.2,28.3,5,2.27,31.08,"USGS","13341050",10.5,"A",10,"A",53100,"A","2008",6,2008,169
"147",2008-06-18,0,8.5,16.7,24.9,3.2,3.46,24.93,"USGS","13341050",10.5,"A",10,"A",57200,"A","2008",6,2008,170
"148",2008-06-19,0,6.2,14.8,23.4,2.4,2.27,22.09,"USGS","13341050",10,"A",9.5,"A",56800,"A","2008",6,2008,171
"149",2008-06-20,0,7.2,16.9,26.6,3.7,2.93,27.75,"USGS","13341050",10.5,"A",9.5,"A",52300,"A","2008",6,2008,172
"150",2008-06-21,0,9.6,21.2,32.8,6.8,2.84,41.91,"USGS","13341050",10.5,"A",10,"A",53500,"A","2008",6,2008,173
"151",2008-06-22,2.07,11.4,20.2,29,11,0.57,26.57,"USGS","13341050",11,"A",10.5,"A",58300,"A","2008",6,2008,174
"152",2008-06-23,0,9.3,17.4,25.6,8.3,0.95,22.94,"USGS","13341050",10,"A",10,"A",60700,"A","2008",6,2008,175
"153",2008-06-24,0,9.3,17.8,26.3,5.6,2.41,25.88,"USGS","13341050",11,"A",10,"A",54900,"A","2008",6,2008,176
"154",2008-06-25,0,8.7,16.9,25.2,4.9,2.39,24.33,"USGS","13341050",11,"A",10.5,"A",50500,"A","2008",6,2008,177
"155",2008-06-26,0,8.6,18.1,27.5,6,2.2,29.22,"USGS","13341050",11.5,"A",10.5,"A",43900,"A","2008",6,2008,178
"156",2008-06-27,0,10.4,18,25.6,5.9,2.79,24.48,"USGS","13341050",11.5,"A",11,"A",41200,"A","2008",6,2008,179
"157",2008-06-28,0,10.1,19.3,28.4,8.6,2.02,28.17,"USGS","13341050",12,"A",11,"A",40800,"A","2008",6,2008,180
"158",2008-06-29,0,11,23,34.9,9.9,2.18,44.95,"USGS","13341050",12.5,"A",11.5,"A",42000,"A","2008",6,2008,181
"159",2008-06-30,0,14.5,25.4,36.4,10.7,3.95,51.47,"USGS","13341050",12.5,"A",12,"A",46200,"A","2008",6,2008,182
"160",2008-07-01,0,14.7,25.3,35.9,11.4,3.25,46.35,"USGS","13341050",12,"A",11.5,"A",45400,"A","2008",7,2008,183
"161",2008-07-02,0,15.1,22.5,29.9,13.7,1.8,27.92,"USGS","13341050",12,"A",11.5,"A",43800,"A","2008",7,2008,184
"162",2008-07-03,0,14.6,23.5,32.4,13.1,1.94,35.75,"USGS","13341050",13,"A",12,"A",39400,"A","2008",7,2008,185
"163",2008-07-04,0,15.2,25.7,36.2,13.1,2.91,47.1,"USGS","13341050",13,"A",12.5,"A",36900,"A","2008",7,2008,186
"164",2008-07-05,0,14.5,20.7,27,11.2,4.49,23.05,"USGS","13341050",13.5,"A",12.5,"A",34500,"A","2008",7,2008,187
"165",2008-07-06,0,12.1,19.8,27.5,10.2,2.17,25.24,"USGS","13341050",13.5,"A",13,"A",30100,"A","2008",7,2008,188
"166",2008-07-07,0,12.5,19.8,27.2,8.7,4.06,25.63,"USGS","13341050",13.5,"A",13,"A",26800,"A","2008",7,2008,189
"167",2008-07-08,0,11.5,20.4,29.4,6.6,3.56,32.53,"USGS","13341050",13.5,"A",13.5,"A",25200,"A","2008",7,2008,190
"168",2008-07-09,0,9.3,20.1,31,7.1,1.91,36.57,"USGS","13341050",14,"A",13.5,"A",23800,"A","2008",7,2008,191
"169",2008-07-10,0,11.3,21.9,32.5,6.3,3.26,41.58,"USGS","13341050",14,"A",13.5,"A",22700,"A","2008",7,2008,192
"170",2008-07-11,0,6.2,17.9,29.6,1.2,3.79,34.76,"USGS","13341050",14,"A",13.5,"A",21600,"A","2008",7,2008,193
"171",2008-07-12,0,6.7,17.6,28.4,-0.8,3.82,34.66,"USGS","13341050",13.5,"A",13,"A",20600,"A","2008",7,2008,194
"172",2008-07-13,0,8.9,19.6,30.4,2.9,3.82,37.19,"USGS","13341050",13,"A",13,"A",19400,"A","2008",7,2008,195
"173",2008-07-14,0,12,22.4,32.8,3.7,5.44,43.6,"USGS","13341050",13.5,"A",13,"A",18700,"A","2008",7,2008,196
"174",2008-07-15,0,14.6,23.7,32.7,3.8,7.85,44.05,"USGS","13341050",13.5,"A",13.5,"A",18200,"A","2008",7,2008,197
"175",2008-07-16,0,12.9,20,27.1,7.2,4.16,25.11,"USGS","13341050",14,"A",13.5,"A",17900,"A","2008",7,2008,198
"176",2008-07-17,0,12.2,21.4,30.7,5.3,4.66,36.55,"USGS","13341050",13.5,"A",13,"A",19000,"A","2008",7,2008,199
"177",2008-07-18,0,11.5,21.6,31.8,3.9,5.3,40.13,"USGS","13341050",13.5,"A",13,"A",18300,"A","2008",7,2008,200
"178",2008-07-19,0,10.1,19,27.8,2.1,5.08,31.48,"USGS","13341050",13.5,"A",13,"A",18000,"A","2008",7,2008,201
"179",2008-07-20,0,10.2,20.6,30.9,2.5,4.82,39.24,"USGS","13341050",13.5,"A",13,"A",17700,"A","2008",7,2008,202
"180",2008-07-21,0,12.6,23.6,34.6,4,5.9,48.87,"USGS","13341050",13,"A",12.5,"A",17300,"A","2008",7,2008,203
"181",2008-07-22,0,13.6,23.4,33.3,6.9,5.17,43.83,"USGS","13341050",12.5,"A",12.5,"A",17400,"A","2008",7,2008,204
"182",2008-07-23,3.73,12.4,17.1,21.8,12.6,0.43,13.34,"USGS","13341050",13,"A",12.5,"A",17600,"A","2008",7,2008,205
