"","Date","ppt..mm.","tmin..degrees.C.","tmean..degrees.C.","tmax..degrees.C.","tdmean..degrees.C.","vpdmin..hPa.","vpdmax..hPa.","agency_cd","site_no","X_00010_00003","X_00010_00003_cd","X_00060_00003","X_00060_00003_cd","yr","mo","waterYear","doy"
"152",2014-06-01,0,6.1,14.5,22.9,5.5,1.07,19.22,"USGS","12322000",10,"A",32100,"A","2014",6,2014,152
"153",2014-06-02,0.38,7.8,16.3,24.8,6.7,1.67,22.37,"USGS","12322000",10,"A",32400,"A","2014",6,2014,153
"154",2014-06-03,0,7.9,14.6,21.4,8,0.89,14.86,"USGS","12322000",10.5,"A",38400,"A","2014",6,2014,154
"155",2014-06-04,3.19,8.3,15.1,21.8,9.5,0.39,13.32,"USGS","12322000",11,"A",41000,"A","2014",6,2014,155
"156",2014-06-05,0,7.3,16.5,25.7,7.9,0.32,23.55,"USGS","12322000",11,"A",39500,"A","2014",6,2014,156
"157",2014-06-06,0,9.8,15.8,21.7,-0.9,4.89,21.07,"USGS","12322000",11,"A",39700,"A","2014",6,2014,157
"158",2014-06-07,0,4.4,13.1,21.7,0.5,2.22,20.75,"USGS","12322000",11,"A",38300,"A","2014",6,2014,158
"159",2014-06-08,0,6.7,14.4,22.2,4,2.34,19.77,"USGS","12322000",10.5,"A",36900,"A","2014",6,2014,159
"160",2014-06-09,0,8.8,17.8,26.8,5.8,3.06,26.84,"USGS","12322000",11,"A",35800,"A","2014",6,2014,160
"161",2014-06-10,3.43,8.3,16.3,24.3,3.9,3.41,23.5,"USGS","12322000",11.5,"A",34900,"A","2014",6,2014,161
"162",2014-06-11,0.7,5.6,11.5,17.5,6.2,0.58,11.38,"USGS","12322000",11.5,"A",30700,"A","2014",6,2014,162
"163",2014-06-12,1.32,7.2,15.5,23.7,5.5,1.31,22.2,"USGS","12322000",11,"A",29000,"A","2014",6,2014,163
"164",2014-06-13,0.18,8.9,17.1,25.2,8.1,1.15,22.25,"USGS","12322000",11.5,"A",28500,"A","2014",6,2014,164
"165",2014-06-14,0.19,8.3,11.9,15.5,7.4,0.59,7.69,"USGS","12322000",11.5,"A",27700,"A","2014",6,2014,165
