"","Date","ppt..mm.","tmin..degrees.C.","tmean..degrees.C.","tmax..degrees.C.","tdmean..degrees.C.","vpdmin..hPa.","vpdmax..hPa.","agency_cd","site_no","X_00010_00001","X_00010_00001_cd","X_00010_00003","X_00010_00003_cd","X_00060_00003","X_00060_00003_cd","yr","mo","waterYear","doy"
"153",2012-06-01,3.17,8.7,13.2,17.8,9.4,0.14,8.58,"USGS","12305000",9,"A",8.5,"A",31500,"A","2012",6,2012,153
"154",2012-06-02,2.49,10.3,15.1,19.9,12.5,0.04,8.57,"USGS","12305000",9,"A",8.5,"A",37500,"A","2012",6,2012,154
"155",2012-06-03,6.89,7.8,13.2,18.7,9.6,0.1,10.72,"USGS","12305000",9,"A",8.5,"A",40100,"A","2012",6,2012,155
"156",2012-06-04,0.39,8.4,14,19.6,8.5,0.25,13.63,"USGS","12305000",10.5,"A",9.5,"A",39900,"A","2012",6,2012,156
"157",2012-06-05,11.4,9.6,16.6,23.6,11,0.06,16.19,"USGS","12305000",10.5,"A",10,"A",42200,"A","2012",6,2012,157
"158",2012-06-06,11.47,8,10.9,13.7,9,0.12,3.44,"USGS","12305000",9.5,"A",8.5,"A",27700,"A","2012",6,2012,158
"159",2012-06-07,9.56,2.7,5.4,8.1,3.5,0.14,2.23,"USGS","12305000",9.5,"A",8.5,"A",30200,"A","2012",6,2012,159
"160",2012-06-08,4.74,2.2,10.2,18.1,6.6,0.05,12.02,"USGS","12305000",10,"A",9,"A",37500,"A","2012",6,2012,160
"161",2012-06-09,3.09,3.4,9.2,15,5,0.16,9.36,"USGS","12305000",9,"A",8.5,"A",37500,"A","2012",6,2012,161
"162",2012-06-10,2.34,4.5,7.8,11.1,5.1,0.14,4.9,"USGS","12305000",10,"A",9,"A",37800,"A","2012",6,2012,162
"163",2012-06-11,0,6.4,11,15.6,7.4,0.18,7.12,"USGS","12305000",10.5,"A",9.5,"A",39900,"A","2012",6,2012,163
"164",2012-06-12,0,5.9,15,24.2,7.5,0.22,20.98,"USGS","12305000",10.5,"A",9.5,"A",42900,"A","2012",6,2012,164
"165",2012-06-13,7.62,5.9,14.4,22.9,9,0.1,18.58,"USGS","12305000",10,"A",9.5,"A",42100,"A","2012",6,2012,165
"166",2012-06-14,2.78,6.1,12,17.9,9,0.08,9.24,"USGS","12305000",10,"A",9,"A",39000,"A","2012",6,2012,166
"167",2012-06-15,0.01,4.9,12.8,20.8,5.6,0.17,16.66,"USGS","12305000",10.5,"A",9.5,"A",43700,"A","2012",6,2012,167
