"","Date","ppt..mm.","tmin..degrees.C.","tmean..degrees.C.","tmax..degrees.C.","tdmean..degrees.C.","vpdmin..hPa.","vpdmax..hPa.","agency_cd","site_no","X_00010_00001","X_00010_00001_cd","X_00010_00003","X_00010_00003_cd","X_00060_00003","X_00060_00003_cd","yr","mo","waterYear","doy"
"153",2020-06-01,0.63,8.1,14.7,21.4,4.2,2.12,17.42,"USGS","13190500",6.3,"A",5.8,"A",1160,"A","2020",6,2020,153
"154",2020-06-02,0,9.6,15.6,21.6,5.9,2.43,16.23,"USGS","13190500",6.5,"A",5.9,"A",1150,"A","2020",6,2020,154
"155",2020-06-03,0,7.2,16,24.7,4.7,1.67,23.05,"USGS","13190500",6.1,"A",5.7,"A",1140,"A","2020",6,2020,155
"156",2020-06-04,0,10.7,18.1,25.6,4.7,4.7,24.37,"USGS","13190500",6.4,"A",5.9,"A",1140,"A","2020",6,2020,156
"157",2020-06-05,0,9.6,16.5,23.5,1.7,4.5,22.19,"USGS","13190500",6.4,"A",6,"A",1140,"A","2020",6,2020,157
"158",2020-06-06,0,10.1,20.3,30.5,3.7,5.12,36.97,"USGS","13190500",6,"A",5.7,"A",1160,"A","2020",6,2020,158
"159",2020-06-07,4.16,2.4,9.8,17.1,6.1,0.14,10.1,"USGS","13190500",6.3,"A",5.9,"A",1160,"A","2020",6,2020,159
"160",2020-06-08,5.99,1,5.1,9.2,0.9,0.19,5.63,"USGS","13190500",6.6,"A",5.9,"A",1150,"A","2020",6,2020,160
"161",2020-06-09,1.63,1.4,7.1,12.9,-0.6,0.33,9.49,"USGS","13190500",6.4,"A",5.9,"A",1150,"A","2020",6,2020,161
"162",2020-06-10,0.27,1.6,9.9,18.1,3.3,1.13,12.61,"USGS","13190500",6.6,"A",6.1,"A",1150,"A","2020",6,2020,162
"163",2020-06-11,0,6,15.1,24.3,2.9,1.61,23.58,"USGS","13190500",6.6,"A",6.1,"A",1160,"A","2020",6,2020,163
"164",2020-06-12,0,8.3,18.7,29.1,2.7,5.01,33.39,"USGS","13190500",6.5,"A",6.1,"A",1160,"A","2020",6,2020,164
"165",2020-06-13,0,10.6,19.7,28.7,1.5,4.84,33.54,"USGS","13190500",6.3,"A",5.9,"A",1150,"A","2020",6,2020,165
"166",2020-06-14,2.36,4.8,9.8,14.7,4.7,0.6,8.89,"USGS","13190500",6.5,"A",6.1,"A",1160,"A","2020",6,2020,166
"167",2020-06-15,0,3,9.2,15.4,1.2,0.79,11.33,"USGS","13190500",6.1,"A",5.9,"A",1150,"A","2020",6,2020,167
"168",2020-06-16,0.67,3.5,10.8,18.2,3.9,0.39,13.91,"USGS","13190500",7,"A",6.2,"A",1160,"A","2020",6,2020,168
"169",2020-06-17,0.03,5.1,9.8,14.5,4.9,0.37,7.59,"USGS","13190500",6.6,"A",6.1,"A",1160,"A","2020",6,2020,169
"170",2020-06-18,1.42,3.7,9.1,14.6,3.4,0.52,8.27,"USGS","13190500",6.9,"A",6.3,"A",1160,"A","2020",6,2020,170
"171",2020-06-19,0,2.1,11.3,20.6,3.7,0.87,17.06,"USGS","13190500",6.6,"A",6.2,"A",1160,"A","2020",6,2020,171
"172",2020-06-20,0,4.2,13.6,23,3.4,1.52,21.39,"USGS","13190500",6.8,"A",6.4,"A",1160,"A","2020",6,2020,172
"173",2020-06-21,0,7.3,17,26.6,5.7,3.26,26.37,"USGS","13190500",6.8,"A",6.3,"A",1170,"A","2020",6,2020,173
"174",2020-06-22,0,9.8,16.7,23.7,6,3.52,19.65,"USGS","13190500",7.1,"A",6.5,"A",1160,"A","2020",6,2020,174
"175",2020-06-23,0,7.6,17.2,26.9,5.7,2.77,26.15,"USGS","13190500",6.9,"A",6.4,"A",1160,"A","2020",6,2020,175
"176",2020-06-24,0,9.3,19.7,30.2,7.2,4,33.04,"USGS","13190500",7.1,"A",6.6,"A",1160,"A","2020",6,2020,176
"177",2020-06-25,0.51,11.4,22,32.6,8.1,2.86,40.69,"USGS","13190500",7.4,"A",6.6,"A",1170,"A","2020",6,2020,177
"178",2020-06-26,0,12.5,19.7,27,7.7,3.98,26.14,"USGS","13190500",7.1,"A",6.5,"A",1160,"A","2020",6,2020,178
"179",2020-06-27,0,10.3,19.7,29.2,6.5,3.9,31.23,"USGS","13190500",7.2,"A",6.5,"A",1160,"A","2020",6,2020,179
"180",2020-06-28,0,10.7,18.6,26.5,5.6,5.24,23.98,"USGS","13190500",7.3,"A",6.5,"A",1170,"A","2020",6,2020,180
"181",2020-06-29,0.39,3.2,10.1,16.9,0.5,0.47,13.44,"USGS","13190500",7.1,"A",6.6,"A",1160,"A","2020",6,2020,181
"182",2020-06-30,6.75,3.1,7.1,11.2,5.2,0.1,3.76,"USGS","13190500",7.1,"A",6.5,"A",1170,"A","2020",6,2020,182
"183",2020-07-01,1.64,3.2,10.7,18.3,5.3,0.06,12.45,"USGS","13190500",7.5,"A",6.8,"A",1170,"A","2020",7,2020,183
"184",2020-07-02,0,5,12.4,19.8,0.3,1.46,17.55,"USGS","13190500",7.4,"A",6.7,"A",1200,"A","2020",7,2020,184
"185",2020-07-03,0.69,5.1,14.8,24.5,-0.2,2.75,24.31,"USGS","13190500",7.6,"A",6.8,"A",1190,"A","2020",7,2020,185
"186",2020-07-04,0,8.1,18.7,29.3,3.8,3.32,33.93,"USGS","13190500",7.5,"A",6.9,"A",1200,"A","2020",7,2020,186
"187",2020-07-05,0,9.6,18.9,28.2,3.4,3.8,29.37,"USGS","13190500",7.7,"A",6.9,"A",1200,"A","2020",7,2020,187
"188",2020-07-06,0,9.9,18.8,27.6,2.2,4.79,28.86,"USGS","13190500",7.9,"A",7,"A",1200,"A","2020",7,2020,188
"189",2020-07-07,0,9.1,19.7,30.4,1.8,4.45,36.23,"USGS","13190500",7.7,"A",7,"A",1220,"A","2020",7,2020,189
"190",2020-07-08,0,8.4,15.8,23.2,1.3,4.05,22.33,"USGS","13190500",7.7,"A",7.1,"A",1220,"A","2020",7,2020,190
"191",2020-07-09,0,7.8,16,24.3,2,3.41,22.56,"USGS","13190500",7.9,"A",7.1,"A",1210,"A","2020",7,2020,191
"192",2020-07-10,0,6.8,18.1,29.4,2,2.85,33.4,"USGS","13190500",8.1,"A",7.3,"A",1210,"A","2020",7,2020,192
"193",2020-07-11,0,10.9,18.8,26.7,1.1,5.32,28.35,"USGS","13190500",7.8,"A",7.2,"A",1200,"A","2020",7,2020,193
"194",2020-07-12,0,10.4,22.1,33.8,1.2,6.36,45.94,"USGS","13190500",8.1,"A",7.3,"A",1210,"A","2020",7,2020,194
"195",2020-07-13,0,11.9,19.9,28,1.8,6.12,30.88,"USGS","13190500",8.2,"A",7.4,"A",1200,"A","2020",7,2020,195
"196",2020-07-14,0,8.6,16.7,24.9,-2.5,5.22,26.66,"USGS","13190500",8,"A",7.5,"A",1200,"A","2020",7,2020,196
"197",2020-07-15,0,8,16.9,25.8,-1.2,5.31,27.68,"USGS","13190500",8.7,"A",7.5,"A",1210,"A","2020",7,2020,197
