"","Date","ppt..mm.","tmin..degrees.C.","tmean..degrees.C.","tmax..degrees.C.","tdmean..degrees.C.","vpdmin..hPa.","vpdmax..hPa.","agency_cd","site_no","X_00010_00001","X_00010_00001_cd","X_00010_00003","X_00010_00003_cd","X_00060_00003","X_00060_00003_cd","yr","mo","doy"
"269",2014-06-26,1.51,13.9,21,28.1,8.7,2.32,29.16,"USGS","13342500",13.5,"A",13,"A",23900,"A","2014",6,177
"270",2014-06-27,5.14,15.3,18.7,22.2,13.6,1.25,11.97,"USGS","13342500",13,"A",12.5,"A",26700,"A","2014",6,178
"271",2014-06-28,4.7,14.3,18.7,23.2,11.7,1.7,14.29,"USGS","13342500",11.5,"A",10.5,"A",35900,"A","2014",6,179
"272",2014-06-29,0,13.7,19.3,25,7.7,3.7,21.73,"USGS","13342500",11.5,"A",10.5,"A",36000,"A","2014",6,180
"273",2014-06-30,0,11.4,18.1,24.8,6.3,3.47,23.03,"USGS","13342500",12,"A",11,"A",30300,"A","2014",6,181
"274",2014-07-01,0,11.2,19.6,28.1,6.8,3.18,29.29,"USGS","13342500",12.5,"A",12,"A",28100,"A","2014",7,182
"275",2014-07-02,0,13.1,23.8,34.5,8.5,3.97,45.67,"USGS","13342500",13.5,"A",12.5,"A",26600,"A","2014",7,183
"276",2014-07-03,0,17.2,26.9,36.5,10.5,6.47,50.28,"USGS","13342500",15,"A",14,"A",25300,"A","2014",7,184
"277",2014-07-04,0,15.5,24.3,33.1,8.5,6.47,40.42,"USGS","13342500",14.5,"A",14,"A",25400,"A","2014",7,185
"278",2014-07-05,0,15.7,23.3,30.9,7.1,6.5,35.27,"USGS","13342500",15,"A",14,"A",24100,"A","2014",7,186
"279",2014-07-06,0,16.9,25.3,33.7,5.2,8.61,45.18,"USGS","13342500",15.5,"A",14,"A",22500,"A","2014",7,187
"280",2014-07-07,0,17.7,26.4,35.1,8.2,8.24,46.48,"USGS","13342500",14.5,"A",13.5,"A",24700,"A","2014",7,188
"281",2014-07-08,0,18.3,26.6,34.9,10.5,8,44.05,"USGS","13342500",15,"A",13.5,"A",24600,"A","2014",7,189
"282",2014-07-09,0,18.6,27.8,36.9,10.6,7.68,51.02,"USGS","13342500",14.5,"A",13.5,"A",23700,"A","2014",7,190
"283",2014-07-10,0,17.6,27.2,36.8,8.7,8.04,51.65,"USGS","13342500",14.5,"A",13,"A",23700,"A","2014",7,191
"284",2014-07-11,0,16.6,25.9,35.1,4.5,8.6,50.07,"USGS","13342500",14,"A",13,"A",23000,"A","2014",7,192
"285",2014-07-12,0,15.3,26,36.8,5,8.72,55.08,"USGS","13342500",14.5,"A",13,"A",22500,"A","2014",7,193
"286",2014-07-13,0,17.9,28,38,7.9,9.36,56.77,"USGS","13342500",14,"A",13,"A",21900,"A","2014",7,194
"287",2014-07-14,0,18.9,28.7,38.6,9.2,9.84,59.05,"USGS","13342500",14,"A",13,"A",20800,"A","2014",7,195
"288",2014-07-15,0.02,19.9,27.7,35.5,12.8,8.49,44.09,"USGS","13342500",15,"A",13.5,"A",18800,"A","2014",7,196
"289",2014-07-16,0,19.5,27.7,35.9,11.8,8.01,46.56,"USGS","13342500",15,"A",14,"A",18500,"A","2014",7,197
"290",2014-07-17,0,19.9,29.5,39,11.1,8.53,58.38,"USGS","13342500",15,"A",14,"A",18600,"A","2014",7,198
"291",2014-07-18,0,19.8,28.4,37,5.5,11.56,55.22,"USGS","13342500",13,"A",12.5,"A",19000,"A","2014",7,199
"292",2014-07-19,0,16.8,23.5,30.2,6.5,7.47,34.74,"USGS","13342500",14,"A",12.5,"A",18600,"A","2014",7,200
"293",2014-07-20,0,16.6,25.5,34.4,10.1,6.75,43.9,"USGS","13342500",13.5,"A",12.5,"A",17500,"A","2014",7,201
"294",2014-07-21,0,16.9,23.5,30.1,10.5,8.19,29.48,"USGS","13342500",14,"A",13,"A",15900,"A","2014",7,202
"295",2014-07-22,0,16.2,23,29.7,5.4,7.72,34.17,"USGS","13342500",14.5,"A",13.5,"A",14700,"A","2014",7,203
"296",2014-07-23,6.17,17.6,24.3,30.9,12.4,3.32,32.28,"USGS","13342500",15,"A",13.5,"A",14500,"A","2014",7,204
"297",2014-07-24,0.93,13.7,23.7,33.6,11.1,3.46,37.49,"USGS","13342500",14.5,"A",13,"A",14400,"A","2014",7,205
"298",2014-07-25,0,12.3,18.4,24.6,5.6,4.51,22.33,"USGS","13342500",14.5,"A",13,"A",14200,"A","2014",7,206
"299",2014-07-26,0,11.6,19.9,28.3,6.6,3.62,29.67,"USGS","13342500",13,"A",12.5,"A",16300,"A","2014",7,207
"300",2014-07-27,0,13.3,23.6,33.9,4.6,5.43,45.85,"USGS","13342500",13,"A",12,"A",16800,"A","2014",7,208
"301",2014-07-28,0,15.4,26.6,37.8,5.4,8.33,57.82,"USGS","13342500",13.5,"A",12,"A",16500,"A","2014",7,209
"302",2014-07-29,0,20.5,30.1,39.7,6.7,14.05,64.3,"USGS","13342500",13.5,"A",12,"A",16200,"A","2014",7,210
"303",2014-07-30,0,20.1,30.2,40.4,5.4,12.93,68.48,"USGS","13342500",13,"A",12,"A",15900,"A","2014",7,211
"304",2014-07-31,0,20.5,29.8,39.1,6.7,13.85,62.19,"USGS","13342500",13.5,"A",12,"A",15600,"A","2014",7,212
"305",2014-08-01,0,19.1,29,39,7.1,11.34,61.64,"USGS","13342500",13.5,"A",12.5,"A",13200,"A","2014",8,213
"306",2014-08-02,0,21.2,29.2,37.2,8.8,13.13,52.44,"USGS","13342500",14,"A",13,"A",12800,"A","2014",8,214
"307",2014-08-03,1.99,19.6,28.3,37,10.7,8.83,51.4,"USGS","13342500",14,"A",13,"A",12700,"A","2014",8,215
"308",2014-08-04,0,19,27.9,36.8,9.5,8.22,52.09,"USGS","13342500",14,"A",13,"A",12700,"A","2014",8,216
"309",2014-08-05,0,19.4,28.7,37.9,6.7,11.81,58.26,"USGS","13342500",14,"A",12.5,"A",12500,"A","2014",8,217
"310",2014-08-06,0,18.6,27.7,36.9,7,11.39,53.68,"USGS","13342500",14,"A",12.5,"A",12400,"A","2014",8,218
"311",2014-08-07,0,17,25.4,33.8,7,7.84,43.2,"USGS","13342500",14,"A",12.5,"A",12400,"A","2014",8,219
"312",2014-08-08,0,16.4,25,33.7,5.3,7.86,45.31,"USGS","13342500",13.5,"A",12.5,"A",12300,"A","2014",8,220
"313",2014-08-09,0,14.4,22.5,30.6,3.2,8.3,36.93,"USGS","13342500",13,"A",12,"A",13400,"A","2014",8,221
"314",2014-08-10,0,13.9,24,34.1,3,7.62,47.02,"USGS","13342500",12.5,"A",11.5,"A",14000,"A","2014",8,222
"315",2014-08-11,0,16.6,27.1,37.6,4.6,10.87,57.33,"USGS","13342500",12.5,"A",11.5,"A",14000,"A","2014",8,223
"316",2014-08-12,0,18.9,29.1,39.4,8.1,11.68,61.73,"USGS","13342500",12.5,"A",11.5,"A",14000,"A","2014",8,224
"317",2014-08-13,0.58,16.5,26.3,36,13.1,3.18,46.66,"USGS","13342500",13,"A",11.5,"A",12600,"A","2014",8,225
"318",2014-08-14,9.57,16.4,22.9,29.3,15.1,2.12,24.08,"USGS","13342500",13,"A",12,"A",12300,"A","2014",8,226
"319",2014-08-15,3.31,15.3,21.3,27.3,15.3,0.61,19.87,"USGS","13342500",13,"A",12,"A",11900,"A","2014",8,227
"320",2014-08-16,0.53,15.1,20.5,25.8,14.7,1.13,17.27,"USGS","13342500",15.5,"A",14,"A",8960,"A","2014",8,228
"321",2014-08-17,0,15.6,22.9,30.3,12.8,2.36,29.36,"USGS","13342500",15.5,"A",14,"A",9100,"A","2014",8,229
"322",2014-08-18,0,16.6,24.7,32.8,11.9,4.61,36.74,"USGS","13342500",15,"A",14,"A",8830,"A","2014",8,230
"323",2014-08-19,0,16.8,26,35.2,10,5.67,46.43,"USGS","13342500",15,"A",14,"A",8410,"A","2014",8,231
"324",2014-08-20,0.43,17.1,25.3,33.5,9.6,6.4,41.75,"USGS","13342500",14.5,"A",13.5,"A",8340,"A","2014",8,232
"325",2014-08-21,0,14.9,22,29,9.1,5.59,28.96,"USGS","13342500",14.5,"A",13,"A",8310,"A","2014",8,233
"326",2014-08-22,1.41,14.2,22,29.7,7.3,5.5,31.88,"USGS","13342500",14,"A",13,"A",8310,"A","2014",8,234
"327",2014-08-23,6.2,13.7,20.2,26.6,10.2,2.61,23.3,"USGS","13342500",13,"A",12,"A",10200,"A","2014",8,235
"328",2014-08-24,0.04,13,19.7,26.4,11.2,1.88,21.84,"USGS","13342500",13.5,"A",12.5,"A",10700,"A","2014",8,236
"329",2014-08-25,0.43,12.5,20.1,27.6,9,2.94,26.83,"USGS","13342500",13.5,"A",12.5,"A",10400,"A","2014",8,237
"330",2014-08-26,0,12.1,20.4,28.8,7.5,2.97,30.09,"USGS","13342500",13.5,"A",12,"A",10100,"A","2014",8,238
"331",2014-08-27,0,13.5,22.3,31,6.7,5.17,36.36,"USGS","13342500",13.5,"A",12,"A",10100,"A","2014",8,239
"332",2014-08-28,0,15,24.8,34.6,8.4,6.05,44.92,"USGS","13342500",13,"A",12,"A",9640,"A","2014",8,240
"333",2014-08-29,0,15.2,23,30.8,7.8,6.66,34.17,"USGS","13342500",13.5,"A",12,"A",9640,"A","2014",8,241
"334",2014-08-30,0,13.5,22.7,31.9,6.6,5,39.29,"USGS","13342500",13,"A",12,"A",9650,"A","2014",8,242
"335",2014-08-31,0,14,20,26.1,8.6,4.65,23.64,"USGS","13342500",12.5,"A",12,"A",9590,"A","2014",8,243
"609",2015-06-01,2.88,15.2,23,30.7,12.9,2.2,30.31,"USGS","13342500",15,"A",14,"A",17100,"A","2015",6,152
"610",2015-06-02,17.47,13.8,20.5,27.3,12.8,1.16,21.52,"USGS","13342500",15.5,"A",14.5,"A",17600,"A","2015",6,153
"611",2015-06-03,3.08,12,17.1,22.1,10.3,1.19,15.09,"USGS","13342500",14.5,"A",13.5,"A",19400,"A","2015",6,154
"612",2015-06-04,0.03,10.5,16.2,21.9,8.6,1.53,16.02,"USGS","13342500",14.5,"A",13,"A",19500,"A","2015",6,155
"613",2015-06-05,0,10.5,18,25.5,8.5,1.71,22.46,"USGS","13342500",16.5,"A",14.5,"A",15300,"A","2015",6,156
"614",2015-06-06,0,12.5,20.6,28.7,9.6,2.93,28.38,"USGS","13342500",17.5,"A",15.5,"A",14300,"A","2015",6,157
"615",2015-06-07,0,14,22.7,31.4,10.7,3.55,34.77,"USGS","13342500",18.5,"A",16.5,"A",14000,"A","2015",6,158
"616",2015-06-08,0,16.3,24.9,33.4,12.1,4.89,39.08,"USGS","13342500",17.5,"A",16,"A",16000,"A","2015",6,159
"617",2015-06-09,0,17.9,27.3,36.8,14,4.92,48.01,"USGS","13342500",17.5,"A",16,"A",15600,"A","2015",6,160
"618",2015-06-10,0,16.3,25.6,34.9,9.5,4.68,46.96,"USGS","13342500",19,"A",17,"A",13900,"A","2015",6,161
"619",2015-06-11,0,15.5,24,32.5,8.3,5.66,39.92,"USGS","13342500",19,"A",17.5,"A",13200,"A","2015",6,162
"620",2015-06-12,0,15.6,23.4,31.2,6.5,6.34,37.21,"USGS","13342500",18.5,"A",17,"A",12000,"A","2015",6,163
"621",2015-06-13,0,10.8,19.3,27.7,1.5,6.47,32.27,"USGS","13342500",18,"A",16.5,"A",11000,"A","2015",6,164
"622",2015-06-14,0,9.4,17,24.6,0.4,4.49,25.34,"USGS","13342500",17.5,"A",16,"A",10300,"A","2015",6,165
"623",2015-06-15,0,9.6,18.7,27.8,2.6,4.31,31.7,"USGS","13342500",17.5,"A",16,"A",9630,"A","2015",6,166
"624",2015-06-16,0,11.7,21.2,30.6,5.5,5.1,36.41,"USGS","13342500",17.5,"A",16,"A",9200,"A","2015",6,167
"625",2015-06-17,0,14.8,23.5,32.2,6.4,6.49,40.01,"USGS","13342500",16.5,"A",15.5,"A",10600,"A","2015",6,168
"626",2015-06-18,0,16.1,23.7,31.3,3.2,8.59,40.02,"USGS","13342500",16,"A",14.5,"A",10800,"A","2015",6,169
"627",2015-06-19,0,15.5,23.7,32,4.7,8.05,40.61,"USGS","13342500",15.5,"A",14.5,"A",10600,"A","2015",6,170
"628",2015-06-20,0,12.5,20.1,27.8,5.9,5.28,28.5,"USGS","13342500",16,"A",14.5,"A",10400,"A","2015",6,171
"629",2015-06-21,0,12.6,20.4,28.3,3.7,5.03,32.41,"USGS","13342500",15,"A",14,"A",10100,"A","2015",6,172
"630",2015-06-22,0,13,21,29.1,3.9,6.21,33.86,"USGS","13342500",15.5,"A",14,"A",9890,"A","2015",6,173
"631",2015-06-23,0,13.5,22.3,31,5.5,6.73,36.83,"USGS","13342500",14.5,"A",13.5,"A",11300,"A","2015",6,174
"632",2015-06-24,0,15.3,22.8,30.3,5.2,7.9,35,"USGS","13342500",14,"A",12.5,"A",11700,"A","2015",6,175
"633",2015-06-25,0,14.9,23.5,32.1,5.6,7.87,40.67,"USGS","13342500",14,"A",12.5,"A",12400,"A","2015",6,176
"634",2015-06-26,0,15.9,24.8,33.8,8.5,7.67,42.34,"USGS","13342500",14,"A",12.5,"A",12500,"A","2015",6,177
"635",2015-06-27,0,17.9,28.2,38.5,9.2,7.98,58.09,"USGS","13342500",13,"A",12,"A",15200,"A","2015",6,178
"636",2015-06-28,0,20.2,30.6,41.1,10.4,10.23,68.62,"USGS","13342500",13,"A",11.5,"A",16600,"A","2015",6,179
"637",2015-06-29,0,24.6,33.8,43,11.7,15.62,75.05,"USGS","13342500",12,"A",11,"A",15500,"A","2015",6,180
"638",2015-06-30,0,21.8,29.5,37.2,14.4,10.4,47.32,"USGS","13342500",14,"A",12.5,"A",13000,"A","2015",6,181
"639",2015-07-01,0,20.2,28.7,37.2,10.5,9.78,52.87,"USGS","13342500",14,"A",12.5,"A",12900,"A","2015",7,182
"640",2015-07-02,0,19.2,28.5,37.7,8.8,10.33,55.38,"USGS","13342500",16.5,"A",13.5,"A",9670,"A","2015",7,183
"641",2015-07-03,0,19.5,29.3,39,7.1,11.17,62.44,"USGS","13342500",16.5,"A",15,"A",8370,"A","2015",7,184
"642",2015-07-04,0,19.6,29.5,39.4,7.5,12,62.55,"USGS","13342500",16.5,"A",15,"A",8230,"A","2015",7,185
"643",2015-07-05,0,20,29.5,39,7.6,11.54,60.51,"USGS","13342500",16,"A",15,"A",8120,"A","2015",7,186
"644",2015-07-06,0,18.3,27.3,36.4,8.6,8.93,50.83,"USGS","13342500",15,"A",14,"A",9500,"A","2015",7,187
"645",2015-07-07,0,19.2,27.8,36.4,7.2,10.04,52.98,"USGS","13342500",14.5,"A",12.5,"A",9970,"A","2015",7,188
"646",2015-07-08,0,19.7,27.7,35.6,10,9.88,47.28,"USGS","13342500",14.5,"A",12.5,"A",9950,"A","2015",7,189
"647",2015-07-09,0,19.2,28.2,37.1,6.3,11.07,55.88,"USGS","13342500",14,"A",12.5,"A",10300,"A","2015",7,190
"648",2015-07-10,0,19.1,28.7,38.2,7.5,11.25,59.11,"USGS","13342500",12.5,"A",10.5,"A",14800,"A","2015",7,191
"649",2015-07-11,3.25,20.1,26.8,33.5,13.1,7.32,37.47,"USGS","13342500",10.5,"A",10,"A",14500,"A","2015",7,192
"650",2015-07-12,2.71,17.8,22.2,26.5,15.7,2.38,17.52,"USGS","13342500",11.5,"A",10,"A",15200,"A","2015",7,193
"651",2015-07-13,0,17.8,24,30.2,12.2,4.3,30.9,"USGS","13342500",13,"A",11,"A",14400,"A","2015",7,194
"652",2015-07-14,0.03,14.8,21.6,28.5,11.9,2.68,26.67,"USGS","13342500",14,"A",12,"A",10900,"A","2015",7,195
"653",2015-07-15,0,14.9,23,31.2,10.2,3.29,35.12,"USGS","13342500",14,"A",12.5,"A",10400,"A","2015",7,196
"654",2015-07-16,0,17.6,24.8,32,7,7.42,38.44,"USGS","13342500",13.5,"A",12,"A",11200,"A","2015",7,197
"655",2015-07-17,0,15.5,21.6,27.6,6.1,8.18,28.14,"USGS","13342500",12.5,"A",11,"A",12100,"A","2015",7,198
"656",2015-07-18,0,15.2,22.9,30.5,3.8,7.68,36.89,"USGS","13342500",12.5,"A",11,"A",12000,"A","2015",7,199
"657",2015-07-19,0,15.5,24.7,33.8,4.9,8.72,44.95,"USGS","13342500",12.5,"A",11,"A",12000,"A","2015",7,200
"658",2015-07-20,0,17.1,26.8,36.6,5.7,10.2,53.22,"USGS","13342500",13,"A",11,"A",11900,"A","2015",7,201
"659",2015-07-21,0,18.9,27.8,36.8,5.6,11.31,53.89,"USGS","13342500",12.5,"A",11,"A",11800,"A","2015",7,202
"660",2015-07-22,0,17.5,25.7,33.9,3.3,10.85,45.67,"USGS","13342500",12,"A",10.5,"A",11800,"A","2015",7,203
"661",2015-07-23,0,14.8,22,29.3,2.5,8.63,34.18,"USGS","13342500",12,"A",10.5,"A",11700,"A","2015",7,204
"662",2015-07-24,0,14.4,22.8,31.3,3.7,6.74,38.51,"USGS","13342500",13,"A",11,"A",10100,"A","2015",7,205
"663",2015-07-25,0,16.3,24,31.7,6.4,7.24,37.89,"USGS","13342500",13,"A",11.5,"A",9660,"A","2015",7,206
"664",2015-07-26,0,16.6,22.9,29.2,8.5,8.1,29.17,"USGS","13342500",12,"A",11,"A",11400,"A","2015",7,207
"665",2015-07-27,0,14.8,20.3,25.7,5.5,7.42,24.36,"USGS","13342500",11,"A",10,"A",11700,"A","2015",7,208
"666",2015-07-28,0.35,11.7,17.8,23.8,5.9,3.42,21.11,"USGS","13342500",12,"A",10.5,"A",11800,"A","2015",7,209
"667",2015-07-29,0,11.7,20.5,29.2,4.1,3.73,33.54,"USGS","13342500",13,"A",11,"A",10300,"A","2015",7,210
"668",2015-07-30,0,13.3,23.6,33.9,3,6.82,46.51,"USGS","13342500",13.5,"A",11.5,"A",9860,"A","2015",7,211
"669",2015-07-31,0,15.6,27,38.4,2.4,9.4,61.74,"USGS","13342500",12.5,"A",11,"A",11300,"A","2015",7,212
"670",2015-08-01,0,18.1,29.3,40.5,2.3,12.75,70.19,"USGS","13342500",12.5,"A",11,"A",11700,"A","2015",8,213
"671",2015-08-02,0,18.1,29.2,40.4,0.7,13.48,69.66,"USGS","13342500",12,"A",10.5,"A",11600,"A","2015",8,214
"672",2015-08-03,0,18.2,29.1,40.1,-0.1,13.84,69.57,"USGS","13342500",12.5,"A",10.5,"A",8670,"A","2015",8,215
"673",2015-08-04,0,19,26.8,34.7,5.7,12.28,47.48,"USGS","13342500",13.5,"A",12,"A",9030,"A","2015",8,216
"674",2015-08-05,0,18.5,26.4,34.3,5.8,10.53,45.91,"USGS","13342500",13,"A",11.5,"A",9050,"A","2015",8,217
"675",2015-08-06,0,16.8,23.6,30.3,1.8,8.95,38.07,"USGS","13342500",13,"A",11.5,"A",9060,"A","2015",8,218
"676",2015-08-07,0,12.4,20,27.6,4.6,5.87,28.67,"USGS","13342500",14,"A",11.5,"A",7740,"A","2015",8,219
"677",2015-08-08,0,12.3,22.1,31.9,2.5,6.28,41.22,"USGS","13342500",14,"A",12.5,"A",7240,"A","2015",8,220
"678",2015-08-09,0,15,24.4,33.8,4.5,10.08,44.45,"USGS","13342500",13,"A",12,"A",7170,"A","2015",8,221
"679",2015-08-10,0,17.8,24.9,31.9,6.8,10.19,37.92,"USGS","13342500",13.5,"A",12,"A",7120,"A","2015",8,222
"680",2015-08-11,0,16.3,25.5,34.7,10.4,5.26,44.8,"USGS","13342500",14,"A",12.5,"A",7100,"A","2015",8,223
"681",2015-08-12,0,16.2,27.9,39.5,9.2,5.72,62.15,"USGS","13342500",14,"A",12.5,"A",7090,"A","2015",8,224
"682",2015-08-13,0,21.3,30.4,39.5,8.7,12.7,61.92,"USGS","13342500",13.5,"A",12.5,"A",7100,"A","2015",8,225
"683",2015-08-14,0,20.2,29.5,38.7,9.7,11.61,57.55,"USGS","13342500",13,"A",12,"A",8390,"A","2015",8,226
"684",2015-08-15,0,17.4,25.2,33,9,8.47,39.36,"USGS","13342500",13,"A",11.5,"A",8850,"A","2015",8,227
"685",2015-08-16,0,13.2,20.6,28,7,6.15,27.02,"USGS","13342500",13,"A",11.5,"A",7500,"A","2015",8,228
"686",2015-08-17,0,13,20.8,28.6,4.8,6.31,31.5,"USGS","13342500",12.5,"A",11.5,"A",7010,"A","2015",8,229
"687",2015-08-18,0,13.7,22.2,30.6,4.7,7.04,36.01,"USGS","13342500",13,"A",11.5,"A",6970,"A","2015",8,230
"688",2015-08-19,0,14.8,23.9,33,5.1,8.1,42.15,"USGS","13342500",13,"A",11.5,"A",6980,"A","2015",8,231
"689",2015-08-20,0,16.8,25.4,34,5.4,10.16,45.2,"USGS","13342500",13,"A",11.5,"A",7000,"A","2015",8,232
"690",2015-08-21,0,16.6,25.2,33.8,2.2,10.41,45.97,"USGS","13342500",13,"A",11.5,"A",6590,"A","2015",8,233
"691",2015-08-22,0,13.3,20,26.7,2.4,8.23,27.22,"USGS","13342500",12,"A",11,"A",6780,"A","2015",8,234
"692",2015-08-23,0,11.8,19.6,27.4,2,6.57,29.99,"USGS","13342500",11.5,"A",10.5,"A",6910,"A","2015",8,235
"693",2015-08-24,0,11.7,21,30.3,3.2,6.5,35.91,"USGS","13342500",11.5,"A",10.5,"A",6670,"A","2015",8,236
"694",2015-08-25,0,14.9,23,31.1,4.4,8.95,36.98,"USGS","13342500",12.5,"A",11.5,"A",5780,"A","2015",8,237
"695",2015-08-26,0,15.1,24.1,33,3.4,8.75,43.33,"USGS","13342500",12,"A",11,"A",6120,"A","2015",8,238
"696",2015-08-27,0,16,24.6,33.3,5.1,10.12,41.69,"USGS","13342500",12,"A",11,"A",7030,"A","2015",8,239
"697",2015-08-28,0,16.8,25.4,33.9,5.2,10.12,45.03,"USGS","13342500",11.5,"A",11,"A",7030,"A","2015",8,240
"698",2015-08-29,0,17.4,23.3,29.1,7,10.44,30.43,"USGS","13342500",11.5,"A",11,"A",6980,"A","2015",8,241
"699",2015-08-30,0.83,13.6,22,30.4,9.2,3.57,33.99,"USGS","13342500",11.5,"A",11,"A",7000,"A","2015",8,242
"700",2015-08-31,1.74,12.5,17.4,22.3,9.3,2.29,17.18,"USGS","13342500",12.5,"A",11,"A",7120,"A","2015",8,243
"975",2016-06-01,0,8.3,17.6,26.9,4.3,3.35,28.24,"USGS","13342500",14.5,"A",13,"A",17500,"A","2016",6,153
"976",2016-06-02,0,11.7,21,30.2,6.6,4.23,34.34,"USGS","13342500",13.5,"A",13,"A",17300,"A","2016",6,154
"977",2016-06-03,0,12.6,17.9,23.1,9.2,2.65,17.03,"USGS","13342500",14.5,"A",13,"A",17400,"A","2016",6,155
"978",2016-06-04,0,12.3,20.3,28.3,9.4,2.61,27.47,"USGS","13342500",15.5,"A",14,"A",17500,"A","2016",6,156
"979",2016-06-05,0,13.3,24.1,34.8,9.1,3.3,46.94,"USGS","13342500",16.5,"A",15,"A",18100,"A","2016",6,157
"980",2016-06-06,0,15.2,25.2,35.2,10.2,5.82,45.85,"USGS","13342500",17,"A",16,"A",18700,"A","2016",6,158
"981",2016-06-07,0,17.3,27.1,37,10.7,6.44,52.33,"USGS","13342500",18,"A",16.5,"A",19400,"A","2016",6,159
"982",2016-06-08,0,19.4,27.6,35.8,12.8,7.5,46.08,"USGS","13342500",17.5,"A",16.5,"A",18300,"A","2016",6,160
"983",2016-06-09,2.22,14.6,24.2,33.7,11.3,3.06,41.62,"USGS","13342500",18,"A",16.5,"A",17100,"A","2016",6,161
"984",2016-06-10,0,13.6,20,26.4,7.2,3.74,25.12,"USGS","13342500",16,"A",15.5,"A",15700,"A","2016",6,162
"985",2016-06-11,2.56,10.3,13,15.7,8.8,1.08,6.58,"USGS","13342500",15.5,"A",14.5,"A",13900,"A","2016",6,163
"986",2016-06-12,0,7.2,14.2,21.2,3.3,1.65,18.7,"USGS","13342500",16.5,"A",14.5,"A",12800,"A","2016",6,164
"987",2016-06-13,0,8.1,17,25.9,4.4,2.31,26.74,"USGS","13342500",16,"A",14.5,"A",12600,"A","2016",6,165
