"","Date","ppt..mm.","tmin..degrees.C.","tmean..degrees.C.","tmax..degrees.C.","tdmean..degrees.C.","vpdmin..hPa.","vpdmax..hPa.","agency_cd","site_no","X_00010_00001","X_00010_00001_cd","X_00010_00003","X_00010_00003_cd","X_00060_00003","X_00060_00003_cd","yr","mo","doy"
"244",2014-06-01,0,11.7,19.7,27.7,1.4,5.66,32.14,"USGS","13342500",11,"A",10,"A",45700,"A","2014",6,152
"245",2014-06-02,0,11.4,19.7,28,4,4.75,31.54,"USGS","13342500",10.5,"A",10,"A",46400,"A","2014",6,153
"246",2014-06-03,1.84,11.9,21.5,31.1,7.5,4.28,37.55,"USGS","13342500",10.5,"A",9.5,"A",46700,"A","2014",6,154
"247",2014-06-04,0,11.4,19.7,28,6.6,3.62,29.41,"USGS","13342500",10.5,"A",10,"A",47800,"A","2014",6,155
"248",2014-06-05,0,11.6,19.8,28,4.3,4.35,30.42,"USGS","13342500",11,"A",10,"A",46500,"A","2014",6,156
"249",2014-06-06,0,7.9,16.8,25.8,-2.5,4.93,29.51,"USGS","13342500",11,"A",10,"A",45300,"A","2014",6,157
"250",2014-06-07,0,9.3,18.1,26.8,-1.5,6.33,30.91,"USGS","13342500",10.5,"A",10,"A",42400,"A","2014",6,158
"251",2014-06-08,0,10.2,18.7,27.2,1.9,5.24,30.41,"USGS","13342500",10.5,"A",10,"A",39000,"A","2014",6,159
"252",2014-06-09,0,12,20.4,28.8,4.9,5.52,32.16,"USGS","13342500",11.5,"A",10.5,"A",37900,"A","2014",6,160
"253",2014-06-10,0,11.7,19.7,27.6,3.8,5.65,30.07,"USGS","13342500",11.5,"A",11,"A",39300,"A","2014",6,161
"254",2014-06-11,0,11.4,18.3,25.2,1.2,6.24,26.34,"USGS","13342500",11.5,"A",10.5,"A",38700,"A","2014",6,162
"255",2014-06-12,0,11.7,19.5,27.3,2.4,6.29,30.18,"USGS","13342500",11.5,"A",11,"A",33400,"A","2014",6,163
"256",2014-06-13,1.02,11,19.4,27.7,5.4,4.01,28.81,"USGS","13342500",11.5,"A",11,"A",32500,"A","2014",6,164
"257",2014-06-14,5.6,11.2,15.3,19.3,6.6,1.71,14.21,"USGS","13342500",11,"A",10,"A",32500,"A","2014",6,165
"258",2014-06-15,0.92,7.6,12.7,17.9,7.3,0.95,10.32,"USGS","13342500",10,"A",9.5,"A",28600,"A","2014",6,166
"259",2014-06-16,0.62,8.4,14.3,20.2,6.4,1.45,14.2,"USGS","13342500",10.5,"A",10,"A",26100,"A","2014",6,167
"260",2014-06-17,0.25,8.9,13.6,18.2,1.9,3.18,15.03,"USGS","13342500",10,"A",9.5,"A",25800,"A","2014",6,168
"261",2014-06-18,10.55,9,10.4,11.8,6.8,0.96,5.25,"USGS","13342500",10.5,"A",9.5,"A",24300,"A","2014",6,169
"262",2014-06-19,1.34,9.4,14.7,20.1,8.4,0.81,12.49,"USGS","13342500",11.5,"A",10,"A",21500,"A","2014",6,170
"263",2014-06-20,0,11.5,20,28.5,6.8,2.63,30.78,"USGS","13342500",13,"A",12,"A",21800,"A","2014",6,171
"264",2014-06-21,0,9.6,17.4,25.3,5,4.25,23.34,"USGS","13342500",13.5,"A",12.5,"A",23500,"A","2014",6,172
"265",2014-06-22,0,9.9,17.7,25.4,3.2,3.99,25.95,"USGS","13342500",13.5,"A",13,"A",24600,"A","2014",6,173
"266",2014-06-23,0,10.1,19.3,28.5,2.1,4.38,33.54,"USGS","13342500",14,"A",13.5,"A",24500,"A","2014",6,174
"267",2014-06-24,0,12.3,22.3,32.3,2.9,6.18,42.92,"USGS","13342500",13.5,"A",13,"A",24500,"A","2014",6,175
"268",2014-06-25,0,13.6,20.1,26.5,9,3.91,23.31,"USGS","13342500",13.5,"A",13,"A",24300,"A","2014",6,176
