"","Date","ppt..mm.","tmin..degrees.C.","tmean..degrees.C.","tmax..degrees.C.","tdmean..degrees.C.","vpdmin..hPa.","vpdmax..hPa.","agency_cd","site_no","X_00010_00001","X_00010_00001_cd","X_00010_00003","X_00010_00003_cd","X_00060_00003","X_00060_00003_cd","yr","mo","waterYear","doy"
"30",2012-06-01,0.38,3.3,10.6,18,1.6,1.73,13.59,"USGS","13018300",9.1,"A",6.2,"A",31.7,"A","2012",6,2012,153
"31",2012-06-02,0,6.3,13.7,21.1,1.5,3.43,18.69,"USGS","13018300",8.4,"A",5.7,"A",35.3,"A","2012",6,2012,154
"32",2012-06-03,0.94,6.8,14.4,22,3.4,2.21,19.25,"USGS","13018300",9.7,"A",6.5,"A",37.3,"A","2012",6,2012,155
"33",2012-06-04,0,7.7,15.4,23.1,3,3.28,21.08,"USGS","13018300",9.6,"A",6.6,"A",38.6,"A","2012",6,2012,156
"34",2012-06-05,0,8.1,17.7,27.3,0.5,3.89,30.95,"USGS","13018300",8.8,"A",6.4,"A",38.4,"A","2012",6,2012,157
"35",2012-06-06,0.4,-0.8,10.6,22,-1.8,0.99,21.23,"USGS","13018300",7.4,"A",4.8,"A",36.1,"A","2012",6,2012,158
"36",2012-06-07,0,-1.9,5.1,12.2,-6.2,1.22,10.58,"USGS","13018300",8.4,"A",5.2,"A",33.7,"A","2012",6,2012,159
"37",2012-06-08,0,-1.5,8.5,18.5,-8.4,1.57,18.59,"USGS","13018300",8.1,"A",5.7,"A",32.4,"A","2012",6,2012,160
"38",2012-06-09,4.73,3.6,12.1,20.6,-2,1.45,19.26,"USGS","13018300",6.7,"A",5.2,"A",32.1,"A","2012",6,2012,161
"39",2012-06-10,1.23,-1.5,4.6,10.7,-3.8,0.54,8.21,"USGS","13018300",4.5,"A",3.8,"A",30.2,"A","2012",6,2012,162
"40",2012-06-11,0.89,-1.9,2.5,6.8,-2.6,0.62,4.82,"USGS","13018300",8.6,"A",5.3,"A",28.1,"A","2012",6,2012,163
"41",2012-06-12,0.86,-0.6,8.2,17,-2.6,1.02,14.57,"USGS","13018300",8.2,"A",5.9,"A",27.3,"A","2012",6,2012,164
"42",2012-06-13,0,3.9,11.7,19.5,-2.8,3.6,17.68,"USGS","13018300",9.7,"A",6.7,"A",26.9,"A","2012",6,2012,165
"43",2012-06-14,0,4.6,12.2,19.9,-4.2,4.27,18.58,"USGS","13018300",9.7,"A",6.5,"A",27,"A","2012",6,2012,166
"44",2012-06-15,0,2.3,11.4,20.6,-5.5,3.18,20.29,"USGS","13018300",7.5,"A",5.8,"A",26.8,"A","2012",6,2012,167
"45",2012-06-16,0,3.9,11.4,18.9,-2.8,4.09,16.77,"USGS","13018300",10,"A",6.6,"A",26.2,"A","2012",6,2012,168
"46",2012-06-17,0,3.9,13.1,22.2,-3,3.58,21.85,"USGS","13018300",9.5,"A",6.9,"A",26,"A","2012",6,2012,169
"47",2012-06-18,0,8.4,15.7,23,-2.2,7.39,22.27,"USGS","13018300",8.2,"A",6.5,"A",26.2,"A","2012",6,2012,170
"48",2012-06-19,0.36,3.9,11.6,19.4,-4.6,3.87,17.73,"USGS","13018300",8.3,"A",5.8,"A",25.8,"A","2012",6,2012,171
"49",2012-06-20,0,-0.3,6.9,14.2,-6.6,1.89,12.55,"USGS","13018300",9.2,"A",5.8,"A",25,"A","2012",6,2012,172
"50",2012-06-21,0,-0.8,8.4,17.7,-4.7,1.39,15.97,"USGS","13018300",10.3,"A",6.7,"A",24.6,"A","2012",6,2012,173
"51",2012-06-22,0,3,13.9,24.7,-3.2,3.54,26.96,"USGS","13018300",11.3,"A",7.9,"A",23.4,"A","2012",6,2012,174
"52",2012-06-23,0,10.4,18.5,26.7,-3.4,9.39,30.97,"USGS","13018300",11.4,"A",7.8,"A",23.3,"A","2012",6,2012,175
"53",2012-06-24,0,10.1,19.1,28.2,-5.4,9.46,34.85,"USGS","13018300",11.6,"A",8.1,"A",23,"A","2012",6,2012,176
"54",2012-06-25,0,12,20.8,29.6,-5.2,10.8,38.38,"USGS","13018300",10.1,"A",7.9,"A",22.6,"A","2012",6,2012,177
"55",2012-06-26,0,12.3,19.9,27.6,0.7,9.34,30.63,"USGS","13018300",11.1,"A",8.3,"A",22.1,"A","2012",6,2012,178
"56",2012-06-27,0,3.9,13.4,22.9,-4.9,4.4,24.84,"USGS","13018300",10.4,"A",7.1,"A",21.9,"A","2012",6,2012,179
"57",2012-06-28,0,3,13.1,23.3,-6,4,24.83,"USGS","13018300",11.2,"A",7.6,"A",21.4,"A","2012",6,2012,180
"58",2012-06-29,0,7.4,17.2,27.1,-5,7.34,31.86,"USGS","13018300",11.4,"A",8,"A",20.9,"A","2012",6,2012,181
"59",2012-06-30,0,8.7,18.1,27.5,-4.9,8.31,32.87,"USGS","13018300",11.6,"A",8.1,"A",20.5,"A","2012",6,2012,182
"60",2012-07-01,0,8.3,18.4,28.6,-3.7,7.13,35.22,"USGS","13018300",11.8,"A",8.3,"A",20,"A","2012",7,2012,183
"61",2012-07-02,0,9.5,19.3,29,-1.6,5.63,36.23,"USGS","13018300",12.1,"A",8.6,"A",19.7,"A","2012",7,2012,184
"62",2012-07-03,0,9.3,18.5,27.7,0.6,5.54,30.91,"USGS","13018300",11.9,"A",8.6,"A",18.8,"A","2012",7,2012,185
"63",2012-07-04,0,9.5,18.6,27.6,-1.2,6.35,30.97,"USGS","13018300",12,"A",8.7,"A",18.2,"A","2012",7,2012,186
"64",2012-07-05,0,8.4,17.9,27.5,-1.3,5.69,31.56,"USGS","13018300",9,"A",7.8,"A",18.2,"A","2012",7,2012,187
"65",2012-07-06,2.49,6.8,14,21.3,5.9,0.14,17.7,"USGS","13018300",11.3,"A",8.3,"A",17.8,"A","2012",7,2012,188
"66",2012-07-07,0,6.2,15.7,25.1,4.7,0.39,25.49,"USGS","13018300",11.2,"A",8.6,"A",17.6,"A","2012",7,2012,189
"67",2012-07-08,1.31,8.9,17.4,25.9,5.5,2.33,25.23,"USGS","13018300",11,"A",8.7,"A",17.4,"A","2012",7,2012,190
"68",2012-07-09,0.32,9.2,17.6,26.1,4.6,3.26,25.76,"USGS","13018300",12.3,"A",9,"A",16.9,"A","2012",7,2012,191
"69",2012-07-10,0.95,9.3,19,28.7,2.5,4.43,33.54,"USGS","13018300",11.5,"A",9.1,"A",16.4,"A","2012",7,2012,192
"70",2012-07-11,0.01,11.2,20.4,29.7,2,6.47,35.49,"USGS","13018300",10.2,"A",8.5,"A",16.1,"A","2012",7,2012,193
"71",2012-07-12,0.67,10.1,18.2,26.4,3.6,4.62,26.82,"USGS","13018300",12.4,"A",9,"A",15.8,"A","2012",7,2012,194
"72",2012-07-13,0,9.1,19.5,29.9,2.2,5.36,36.26,"USGS","13018300",11.6,"A",9,"A",15.6,"A","2012",7,2012,195
"73",2012-07-14,1.85,10.9,20,29.1,5.5,1.7,33.43,"USGS","13018300",10.9,"A",8.9,"A",15.8,"A","2012",7,2012,196
"74",2012-07-15,5.43,10.7,16.5,22.2,10.3,0.3,15.46,"USGS","13018300",11.9,"A",9.4,"A",15,"A","2012",7,2012,197
"75",2012-07-16,2.87,9.9,16.8,23.6,7.3,0.6,19.52,"USGS","13018300",10.4,"A",8.9,"A",14.7,"A","2012",7,2012,198
"76",2012-07-17,4.22,8.3,15.1,21.9,7.8,0.93,16.49,"USGS","13018300",11.6,"A",9,"A",14.6,"A","2012",7,2012,199
"77",2012-07-18,0,7.1,15.7,24.3,4.2,1.39,22.21,"USGS","13018300",12,"A",9,"A",14.2,"A","2012",7,2012,200
"78",2012-07-19,0,8.8,18,27.1,1.1,4.8,29.69,"USGS","13018300",12.2,"A",9.3,"A",13.9,"A","2012",7,2012,201
"79",2012-07-20,0,9.8,19.4,29.1,0.6,5.66,35.14,"USGS","13018300",12.2,"A",10,"A",13.5,"A","2012",7,2012,202
"80",2012-07-21,0,12.9,20.1,27.2,5.1,5.78,28.03,"USGS","13018300",12.4,"A",10.1,"A",13.2,"A","2012",7,2012,203
