"","Date","ppt..mm.","tmin..degrees.C.","tmean..degrees.C.","tmax..degrees.C.","tdmean..degrees.C.","vpdmin..hPa.","vpdmax..hPa.","agency_cd","site_no","X_00010_00003","X_00010_00003_cd","X_00060_00003","X_00060_00003_cd","yr","mo","waterYear","doy"
"34",2012-06-01,0,0.8,9.3,17.8,0.8,1.17,13.43,"USGS","13310800",5.2,"A",57.3,"A","2012",6,2012,153
"35",2012-06-02,0.68,1.8,11.9,22,1.2,0.69,19.92,"USGS","13310800",5.1,"A",70.4,"A","2012",6,2012,154
"36",2012-06-03,3.33,3.1,10.7,18.2,3.6,0.76,12.77,"USGS","13310800",5.1,"A",74.4,"A","2012",6,2012,155
"37",2012-06-04,0,3.7,11.4,19,3.4,0.76,13.99,"USGS","13310800",5.7,"A",79.3,"A","2012",6,2012,156
"38",2012-06-05,0.88,1.9,13.3,24.7,1.8,1.08,24.33,"USGS","13310800",3.9,"A",77.8,"A","2012",6,2012,157
"39",2012-06-06,8.72,-1.7,2.3,6.3,-1.3,0.36,3.53,"USGS","13310800",3.5,"A",67.6,"A","2012",6,2012,158
"40",2012-06-07,1.84,-3.7,2.2,8.2,-6.6,0.58,7.37,"USGS","13310800",4,"A",59.2,"A","2012",6,2012,159
"41",2012-06-08,3.23,-4.7,4.8,14.4,-4.5,0.3,13.07,"USGS","13310800",4.6,"A",56,"A","2012",6,2012,160
"42",2012-06-09,1.38,-2.8,3.7,10.1,-3.2,0.47,7.83,"USGS","13310800",3.7,"A",50.5,"A","2012",6,2012,161
"43",2012-06-10,2.74,-3.7,1.8,7.3,-4,0.42,6.19,"USGS","13310800",3.8,"A",45.7,"A","2012",6,2012,162
"44",2012-06-11,0,-1.4,4.3,10.1,-2.5,0.77,6.83,"USGS","13310800",4.9,"A",42,"A","2012",6,2012,163
"45",2012-06-12,0,-2.9,7,16.8,-3.5,0.65,14.95,"USGS","13310800",5.3,"A",40,"A","2012",6,2012,164
"46",2012-06-13,3.66,0.5,9.6,18.7,-0.2,0.51,16.4,"USGS","13310800",5.8,"A",45.2,"A","2012",6,2012,165
"47",2012-06-14,0,-0.1,8.1,16.2,-4.5,0.77,14.58,"USGS","13310800",5.4,"A",46.1,"A","2012",6,2012,166
"48",2012-06-15,0,-2.3,8.4,19.1,-8,1.49,19.42,"USGS","13310800",6.2,"A",44.6,"A","2012",6,2012,167
"49",2012-06-16,0,0.6,10.2,19.8,-6,2.19,19.63,"USGS","13310800",6.2,"A",43.9,"A","2012",6,2012,168
"50",2012-06-17,0,0.1,11.2,22.4,-5.3,1.92,23.41,"USGS","13310800",7.2,"A",44.1,"A","2012",6,2012,169
"51",2012-06-18,0,3.8,12.6,21.5,-1.9,3.82,19.42,"USGS","13310800",5.7,"A",42.3,"A","2012",6,2012,170
"52",2012-06-19,0,-1.9,5.4,12.7,-5,1.17,10.91,"USGS","13310800",4.4,"A",39.1,"A","2012",6,2012,171
"53",2012-06-20,0,-3.2,3.7,10.5,-4.5,0.7,8.45,"USGS","13310800",5.6,"A",36.3,"A","2012",6,2012,172
"54",2012-06-21,0,-2.7,8.5,19.7,-5.1,0.82,19.18,"USGS","13310800",6.9,"A",34.8,"A","2012",6,2012,173
