"","Date","ppt..mm.","tmin..degrees.C.","tmean..degrees.C.","tmax..degrees.C.","tdmean..degrees.C.","vpdmin..hPa.","vpdmax..hPa.","agency_cd","site_no","X_00010_00001","X_00010_00001_cd","X_00010_00003","X_00010_00003_cd","X_00060_00003","X_00060_00003_cd","yr","mo","waterYear","doy"
"152",2013-06-01,0,0.9,11,21.1,-3.2,1.09,21.02,"USGS","13176400",18.4,"A",17,"A",75.6,"A","2013",6,2013,152
"153",2013-06-02,0,4.4,15.8,27.3,-2.5,3.02,31.69,"USGS","13176400",19.7,"A",18.4,"A",73.1,"A","2013",6,2013,153
"154",2013-06-03,0,4.8,15.5,26.1,-1.3,3.21,27.23,"USGS","13176400",19.8,"A",18.6,"A",69,"A","2013",6,2013,154
"155",2013-06-04,0,4.2,14.4,24.6,-2.2,2.7,26,"USGS","13176400",20.5,"A",19.1,"A",63.8,"A","2013",6,2013,155
"156",2013-06-05,0,5.5,15.4,25.3,-2.4,3.88,27.92,"USGS","13176400",21.2,"A",19.7,"A",57.6,"A","2013",6,2013,156
"157",2013-06-06,0,6.7,18.1,29.5,-0.9,4.22,37.05,"USGS","13176400",21.7,"A",20.4,"A",50.3,"A","2013",6,2013,157
"158",2013-06-07,0,9.6,20.7,31.7,0,5.93,41.62,"USGS","13176400",23,"A",21,"A",44.7,"A","2013",6,2013,158
"159",2013-06-08,0,10.8,21.2,31.5,3.3,4.81,39.34,"USGS","13176400",23.7,"A",21.8,"A",41.4,"A","2013",6,2013,159
"160",2013-06-09,0,9.6,20.2,30.8,-1.9,4.95,40.24,"USGS","13176400",24.7,"A",22.4,"A",38.4,"A","2013",6,2013,160
"161",2013-06-10,0,10.5,22.8,35.1,0.6,7.05,51.3,"USGS","13176400",24.8,"A",22.8,"A",34.6,"A","2013",6,2013,161
"162",2013-06-11,2.16,10.2,21.6,33.1,3.9,3.15,43.63,"USGS","13176400",23.4,"A",21.8,"A",30.8,"A","2013",6,2013,162
"163",2013-06-12,0,9.8,18.7,27.5,0.2,4.67,31.26,"USGS","13176400",22.8,"A",20.9,"A",27.5,"A","2013",6,2013,163
