"","Date","ppt..mm.","tmin..degrees.C.","tmean..degrees.C.","tmax..degrees.C.","tdmean..degrees.C.","vpdmin..hPa.","vpdmax..hPa.","agency_cd","site_no","X_00010_00003","X_00010_00003_cd","X_00060_00003","X_00060_00003_cd","yr","mo","waterYear","doy"
"128",2008-06-01,0,6.9,15.6,24.2,6.3,0.85,21.61,"USGS","12398600",12.1,"A",94100,"A","2008",6,2008,153
"129",2008-06-02,17.73,8,11.9,15.7,10.2,0.2,3.68,"USGS","12398600",12.4,"A",94500,"A","2008",6,2008,154
"130",2008-06-03,0.66,5.2,10.1,15,5.3,0.31,8.1,"USGS","12398600",12.2,"A",96200,"A","2008",6,2008,155
"131",2008-06-04,2.17,5.1,11.2,17.3,6.2,0.25,11.43,"USGS","12398600",12,"A",97800,"A","2008",6,2008,156
"132",2008-06-05,1.66,7.8,11.1,14.4,8.1,0.23,5.14,"USGS","12398600",11.4,"A",98800,"A","2008",6,2008,157
"133",2008-06-06,5.81,4.3,8.2,12.1,5.6,0.11,5.3,"USGS","12398600",11.2,"A",97700,"A","2008",6,2008,158
"134",2008-06-07,10.04,2.6,7.3,12,3.8,0.17,6.04,"USGS","12398600",11,"A",97700,"A","2008",6,2008,159
"135",2008-06-08,4.17,2.7,7.1,11.4,5,0.15,3.71,"USGS","12398600",11.1,"A",97400,"A","2008",6,2008,160
"136",2008-06-09,2.36,3.5,10.3,17.1,5.4,0.14,11.17,"USGS","12398600",11.2,"A",94100,"A","2008",6,2008,161
"137",2008-06-10,6.57,3.5,8.7,13.9,5.8,0.45,7.35,"USGS","12398600",11.2,"A",91300,"A","2008",6,2008,162
"138",2008-06-11,1.43,0.9,4.2,7.4,1.1,0.22,3.89,"USGS","12398600",11,"A",93400,"A","2008",6,2008,163
"139",2008-06-12,3.85,1.4,10.1,18.7,5.7,0.15,11.94,"USGS","12398600",11.4,"A",92100,"A","2008",6,2008,164
"140",2008-06-13,0,5.7,12.3,19,7.5,0.1,10.81,"USGS","12398600",11.5,"A",88200,"A","2008",6,2008,165
"141",2008-06-14,0,5.9,14.1,22.4,1.8,1.64,20.63,"USGS","12398600",11.9,"A",84200,"A","2008",6,2008,166
"142",2008-06-15,0,4.6,12.8,21.1,0.7,1.95,18.79,"USGS","12398600",12.3,"A",84200,"A","2008",6,2008,167
"143",2008-06-16,0,4.9,14.2,23.4,2.2,1.79,22.23,"USGS","12398600",12.5,"A",84000,"A","2008",6,2008,168
"144",2008-06-17,0,7.1,16.4,25.6,2.8,2.86,25.64,"USGS","12398600",12.8,"A",82100,"A","2008",6,2008,169
"145",2008-06-18,0,5.2,14.2,23.2,0.3,2.91,22.93,"USGS","12398600",13.4,"A",82500,"A","2008",6,2008,170
"146",2008-06-19,0,3.8,12,20.2,1.4,1.38,16.89,"USGS","12398600",13.4,"A",72900,"A","2008",6,2008,171
"147",2008-06-20,0,4.6,13,21.3,2.6,1.52,18.12,"USGS","12398600",13.3,"A",65700,"A","2008",6,2008,172
"148",2008-06-21,0,7.2,17.3,27.3,4.4,2.47,28.8,"USGS","12398600",13.3,"A",64100,"A","2008",6,2008,173
"149",2008-06-22,10.19,10.1,18.8,27.4,9.5,0.36,26.24,"USGS","12398600",13.9,"A",66100,"A","2008",6,2008,174
"150",2008-06-23,1.09,6.3,13.6,20.9,8.5,0.18,14.12,"USGS","12398600",14.4,"A",66400,"A","2008",6,2008,175
"151",2008-06-24,0,7.2,14.2,21.3,5.6,1.08,17.02,"USGS","12398600",14.8,"A",71700,"A","2008",6,2008,176
"152",2008-06-27,0,7.3,15.3,23.4,4.9,1.88,20.72,"USGS","12398600",15.6,"A",75100,"A","2008",6,2008,179
"153",2008-06-28,0,8.2,17.7,27.1,6.3,2.06,26.88,"USGS","12398600",16,"A",73400,"A","2008",6,2008,180
"154",2008-06-29,0,11.4,21.7,32,9,2.87,36.82,"USGS","12398600",16.6,"A",66600,"A","2008",6,2008,181
"155",2008-06-30,0,13.9,24.4,35,9.4,4.51,46.01,"USGS","12398600",16.9,"A",57700,"A","2008",6,2008,182
"156",2008-07-01,5.34,11.2,23,34.7,11.5,0.6,43.24,"USGS","12398600",17.7,"A",55600,"A","2008",7,2008,183
"157",2008-07-02,2.08,12.2,19.6,27.1,14.2,0.04,21.26,"USGS","12398600",18.4,"A",55200,"A","2008",7,2008,184
"158",2008-07-03,0,11.7,19.6,27.4,13.7,0.07,20.78,"USGS","12398600",18.8,"A",56400,"A","2008",7,2008,185
"159",2008-07-04,1.13,13.1,22.6,32.2,13.4,0.58,34.41,"USGS","12398600",19,"A",61200,"A","2008",7,2008,186
"160",2008-07-05,0.55,9.1,16.7,24.2,11.2,0.75,18.61,"USGS","12398600",19.5,"A",63300,"A","2008",7,2008,187
"161",2008-07-06,0,8.8,16.7,24.6,9.4,0.61,19.54,"USGS","12398600",19.3,"A",65000,"A","2008",7,2008,188
"162",2008-07-07,0,6.9,15.9,25,7.4,0.68,22.31,"USGS","12398600",19.1,"A",62600,"A","2008",7,2008,189
"163",2008-07-08,0,6.3,15.7,25.1,6.5,1.01,21.98,"USGS","12398600",18.6,"A",55300,"A","2008",7,2008,190
"164",2008-07-09,0,7.4,18.1,28.7,6.7,1.33,29.97,"USGS","12398600",18.5,"A",50800,"A","2008",7,2008,191
"165",2008-07-10,0,8.3,19.3,30.2,4.7,2.81,34.74,"USGS","12398600",19.2,"A",48700,"A","2008",7,2008,192
"166",2008-07-11,0,1.7,13.5,25.4,-0.8,1.85,26.55,"USGS","12398600",19.7,"A",44300,"A","2008",7,2008,193
"167",2008-07-12,0,2.4,12.9,23.5,1.3,1.58,22.23,"USGS","12398600",19.6,"A",38200,"A","2008",7,2008,194
"168",2008-07-13,0,4.4,16.6,28.8,3.7,1.42,31.97,"USGS","12398600",19.6,"A",37300,"A","2008",7,2008,195
"169",2008-07-14,0,7.1,19,30.9,2.7,3.47,38.25,"USGS","12398600",19.9,"A",32800,"A","2008",7,2008,196
"170",2008-07-15,0,6.8,17.8,28.7,1,4.02,33.68,"USGS","12398600",20.3,"A",35400,"A","2008",7,2008,197
"171",2008-07-16,0,6.6,17.7,28.9,1.7,3.17,33.69,"USGS","12398600",20.4,"A",30500,"A","2008",7,2008,198
"172",2008-07-17,0,5.9,17.5,29.2,2.4,2.88,34.13,"USGS","12398600",20.3,"A",29300,"A","2008",7,2008,199
"173",2008-07-18,0,6.8,18,29.1,2.9,3.68,33.08,"USGS","12398600",20.4,"A",27300,"A","2008",7,2008,200
"174",2008-07-19,0,6.1,16.6,27.1,3.3,1.84,28.85,"USGS","12398600",20.7,"A",26000,"A","2008",7,2008,201
"175",2008-07-20,0,5.8,17.1,28.4,4.6,1.39,31.23,"USGS","12398600",21,"A",26800,"A","2008",7,2008,202
"176",2008-07-21,0,7.8,19.6,31.5,3.1,3.86,40.08,"USGS","12398600",21.2,"A",30100,"A","2008",7,2008,203
"177",2008-07-22,0,8.4,20.5,32.7,3.7,5.13,41.88,"USGS","12398600",21.5,"A",27000,"A","2008",7,2008,204
"178",2008-07-23,0,7.8,17.8,27.8,8.3,0.45,27.67,"USGS","12398600",21.6,"A",22200,"A","2008",7,2008,205
"179",2008-07-24,4.9,6,15,24,9.1,0.13,18.64,"USGS","12398600",21.6,"A",20300,"A","2008",7,2008,206
"180",2008-07-25,0,6.2,16.9,27.6,7.2,0.26,28.04,"USGS","12398600",21.4,"A",18500,"A","2008",7,2008,207
"181",2008-07-26,0,7.6,19.4,31.2,5.8,1.94,38.13,"USGS","12398600",21.2,"A",21300,"A","2008",7,2008,208
"182",2008-07-27,0,7.8,18,28.2,6.1,2.02,29.78,"USGS","12398600",21.2,"A",21700,"A","2008",7,2008,209
