"","Date","ppt..mm.","tmin..degrees.C.","tmean..degrees.C.","tmax..degrees.C.","tdmean..degrees.C.","vpdmin..hPa.","vpdmax..hPa.","agency_cd","site_no","X_00010_00003","X_00010_00003_cd","X_00060_00003","X_00060_00003_cd","yr","mo","waterYear","doy"
"153",2016-06-01,0,8.9,18.3,27.7,2.2,2.88,30.8,"USGS","13211205",13.6,"A",2470,"A","2016",6,2016,153
"154",2016-06-02,0,9.7,21.4,33.2,5.7,3.08,42.23,"USGS","13211205",13.7,"A",2420,"A","2016",6,2016,154
"155",2016-06-03,0,13.9,21.7,29.4,6,4.54,34.05,"USGS","13211205",13.9,"A",2360,"A","2016",6,2016,155
"156",2016-06-04,0,13.5,22,30.5,9.8,3.53,31.89,"USGS","13211205",14.6,"A",2360,"A","2016",6,2016,156
"157",2016-06-05,0,13.4,23.7,34,10,2.67,42.71,"USGS","13211205",14.8,"A",2350,"A","2016",6,2016,157
"158",2016-06-06,0,14.4,25.1,35.9,11.5,3.34,45.64,"USGS","13211205",15.1,"A",2360,"A","2016",6,2016,158
"159",2016-06-07,0,16.5,26.2,35.9,11.9,4.3,46.61,"USGS","13211205",14.8,"A",2330,"A","2016",6,2016,159
"160",2016-06-08,0,16.7,26.2,35.6,12.1,3.92,46.56,"USGS","13211205",15,"A",2290,"A","2016",6,2016,160
"161",2016-06-09,0,16.1,26.5,36.9,9.6,4.47,52.8,"USGS","13211205",14.9,"A",2250,"A","2016",6,2016,161
"162",2016-06-10,0,13.1,21,28.9,8,3.25,28.98,"USGS","13211205",14.5,"A",2310,"A","2016",6,2016,162
"163",2016-06-11,0,11.3,19,26.7,7.6,4,24.16,"USGS","13211205",13.8,"A",2340,"A","2016",6,2016,163
"164",2016-06-12,0,8.5,15.6,22.8,1.4,3.62,21.57,"USGS","13211205",13.5,"A",2380,"A","2016",6,2016,164
"165",2016-06-13,0,7.2,17,26.7,0.3,2.73,30.24,"USGS","13211205",14,"A",2420,"A","2016",6,2016,165
"166",2016-06-14,0,7.4,18.9,30.5,3.1,3.08,37.03,"USGS","13211205",13.9,"A",2380,"A","2016",6,2016,166
"167",2016-06-15,2.02,9.2,14.9,20.7,4.6,1.8,16.86,"USGS","13211205",12.7,"A",2130,"A","2016",6,2016,167
"168",2016-06-16,1.92,6.2,12,17.7,5.4,0.28,11.72,"USGS","13211205",12.9,"A",2210,"A","2016",6,2016,168
"169",2016-06-17,1.39,6.2,13.1,20.1,5.8,0.45,15.17,"USGS","13211205",14,"A",2140,"A","2016",6,2016,169
"170",2016-06-18,0,7.1,17.3,27.4,5.7,0.76,27.59,"USGS","13211205",15.1,"A",1750,"A","2016",6,2016,170
"171",2016-06-19,0,7.7,16.2,24.7,5.1,2.43,22.05,"USGS","13211205",14.7,"A",1690,"A","2016",6,2016,171
"172",2016-06-20,0,7.1,16.8,26.4,2.5,1.81,28.88,"USGS","13211205",15.6,"A",1670,"A","2016",6,2016,172
"173",2016-06-21,0,8.9,21.5,34.1,5.9,2.92,44.78,"USGS","13211205",16.4,"A",1510,"A","2016",6,2016,173
"174",2016-06-22,0,9.6,19,28.4,4.7,2.22,31.64,"USGS","13211205",16.8,"A",1080,"A","2016",6,2016,174
"175",2016-06-23,0,10.4,22,33.6,6.7,2.24,43.14,"USGS","13211205",17.9,"A",849,"A","2016",6,2016,175
"176",2016-06-24,0,14.4,23.3,32.2,8,5.25,36.65,"USGS","13211205",17.9,"A",794,"A","2016",6,2016,176
"177",2016-06-25,0,8.7,16.2,23.8,3.6,3.19,21.75,"USGS","13211205",16.8,"A",837,"A","2016",6,2016,177
"178",2016-06-26,0,8.6,18,27.3,3.5,2.19,29.28,"USGS","13211205",17.3,"A",843,"A","2016",6,2016,178
"179",2016-06-27,0,9.5,21.7,33.8,6.8,2.47,42.87,"USGS","13211205",18.4,"A",797,"A","2016",6,2016,179
"180",2016-06-28,0,13.7,25.5,37.4,8.4,4.02,53.09,"USGS","13211205",19.1,"A",717,"A","2016",6,2016,180
"181",2016-06-29,0,18.3,28,37.6,10.4,8.43,53.22,"USGS","13211205",19.4,"A",713,"A","2016",6,2016,181
"182",2016-06-30,0.26,18.8,28.5,38.1,11.3,7.65,53.44,"USGS","13211205",19.7,"A",690,"A","2016",6,2016,182
"183",2016-07-01,0,17.3,26.7,36.1,9.3,6.97,49.08,"USGS","13211205",19.6,"A",678,"A","2016",7,2016,183
"184",2016-07-02,0,15.2,25,34.8,6.8,6.3,47.69,"USGS","13211205",19,"A",703,"A","2016",7,2016,184
"185",2016-07-03,0,16.1,25.3,34.6,8.6,6.86,45.52,"USGS","13211205",19.3,"A",708,"A","2016",7,2016,185
"186",2016-07-04,0,16.4,25.5,34.6,7.1,9.05,44.77,"USGS","13211205",19,"A",752,"A","2016",7,2016,186
"187",2016-07-05,0,14.2,22.5,30.8,2.8,8.05,38.11,"USGS","13211205",18.2,"A",766,"A","2016",7,2016,187
"188",2016-07-06,0,13.7,21.3,28.8,3.6,7.28,32.33,"USGS","13211205",17.7,"A",727,"A","2016",7,2016,188
