"","Date","ppt..mm.","tmin..degrees.C.","tmean..degrees.C.","tmax..degrees.C.","tdmean..degrees.C.","vpdmin..hPa.","vpdmax..hPa.","agency_cd","site_no","X_00010_00003","X_00010_00003_cd","X_00060_00003","X_00060_00003_cd","yr","mo","waterYear","doy"
"91",2016-06-01,0,5,14.7,24.4,0,2.85,25.03,"USGS","13307000",14.4,"A",5160,"A","2016",6,2016,153
"92",2016-06-02,0,7.6,17.4,27.3,2.6,3.22,30.06,"USGS","13307000",14.4,"A",5420,"A","2016",6,2016,154
"93",2016-06-03,0,9.6,15.7,21.9,4.2,3.2,19.3,"USGS","13307000",14.5,"A",5710,"A","2016",6,2016,155
"94",2016-06-04,0,8.8,18.4,28,4.1,2.88,30.65,"USGS","13307000",15.8,"A",6030,"A","2016",6,2016,156
"95",2016-06-05,0,10.4,21.6,32.9,5.3,4.42,42.04,"USGS","13307000",16.9,"A",6700,"A","2016",6,2016,157
"96",2016-06-06,0,13,23.5,34.1,6.8,5.47,45.22,"USGS","13307000",17.1,"A",7510,"A","2016",6,2016,158
"97",2016-06-07,1.53,13,22.4,31.8,8.7,3.63,36.86,"USGS","13307000",16.4,"A",8330,"A","2016",6,2016,159
"98",2016-06-08,0,12.6,22.5,32.5,8.8,2.8,40.02,"USGS","13307000",16.3,"A",8580,"A","2016",6,2016,160
"99",2016-06-09,0,12.7,22.9,33.2,8.1,3.12,42.28,"USGS","13307000",16.3,"A",8640,"A","2016",6,2016,161
"100",2016-06-10,0,11.1,19.6,28.1,5.3,3.67,30.82,"USGS","13307000",16,"A",8390,"A","2016",6,2016,162
"101",2016-06-11,0,10.1,20.6,31,4.2,3.18,39.21,"USGS","13307000",15.7,"A",7730,"A","2016",6,2016,163
"102",2016-06-12,0,5.9,14.5,23,1.6,2.98,22.31,"USGS","13307000",14.9,"A",7130,"A","2016",6,2016,164
"103",2016-06-13,0,5,15.2,25.5,-2.7,2.91,29.26,"USGS","13307000",15,"A",6380,"A","2016",6,2016,165
"104",2016-06-14,0,7.7,17.6,27.5,-1.8,4.2,32.72,"USGS","13307000",15,"A",5730,"A","2016",6,2016,166
"105",2016-06-15,1.09,6.9,11.5,16.1,1.5,3.08,11.86,"USGS","13307000",13.5,"A",5380,"A","2016",6,2016,167
"106",2016-06-16,9.84,5.4,10.3,15.2,4.8,0.21,9.89,"USGS","13307000",13.2,"A",5320,"A","2016",6,2016,168
"107",2016-06-17,0.91,3.4,10,16.6,0.6,0.75,13.27,"USGS","13307000",13.3,"A",4930,"A","2016",6,2016,169
"108",2016-06-18,0,3.2,13.8,24.5,2.1,1.47,24.48,"USGS","13307000",14.9,"A",4480,"A","2016",6,2016,170
"109",2016-06-19,0,7.4,17.8,28.3,2.6,3.03,32.57,"USGS","13307000",15.6,"A",4090,"A","2016",6,2016,171
"110",2016-06-20,0,6.2,16,25.8,-1.4,2.99,28.91,"USGS","13307000",16.6,"A",3870,"A","2016",6,2016,172
"111",2016-06-21,0,8.6,21.1,33.6,0,4.72,47.51,"USGS","13307000",17.7,"A",3610,"A","2016",6,2016,173
"112",2016-06-22,0,9.2,18.5,27.8,-0.8,5.5,33.3,"USGS","13307000",17.9,"A",3500,"A","2016",6,2016,174
"113",2016-06-23,0,8.9,20,31.1,-0.5,5.06,40.47,"USGS","13307000",18.5,"A",3490,"A","2016",6,2016,175
"114",2016-06-24,0,11.3,21.7,32.1,2.4,5.64,42.17,"USGS","13307000",18.5,"A",3420,"A","2016",6,2016,176
"115",2016-06-25,0,5.9,14.8,23.6,0.5,3.07,23.9,"USGS","13307000",17.3,"A",3400,"A","2016",6,2016,177
"116",2016-06-26,0,5.9,16.4,26.8,-0.6,3.41,30.81,"USGS","13307000",17.9,"A",3310,"A","2016",6,2016,178
"117",2016-06-27,0,9.6,20.2,30.7,1.5,5.13,38.83,"USGS","13307000",18.8,"A",3180,"A","2016",6,2016,179
