"","Date","ppt..mm.","tmin..degrees.C.","tmean..degrees.C.","tmax..degrees.C.","tdmean..degrees.C.","vpdmin..hPa.","vpdmax..hPa.","agency_cd","site_no","X_00010_00003","X_00010_00003_cd","X_00060_00003","X_00060_00003_cd","yr","mo","waterYear","doy"
"148",2017-06-01,3.27,9.2,14.3,19.5,10,0.26,9.89,"USGS","12179900",7.6,"A",1160,"A","2017",6,2017,152
"149",2017-06-02,6.29,9.5,13,16.4,9.5,0.53,7.38,"USGS","12179900",7.5,"A",1070,"A","2017",6,2017,153
"150",2017-06-03,0,7.8,13.5,19.2,6.5,0.95,12.81,"USGS","12179900",8,"A",898,"A","2017",6,2017,154
"151",2017-06-04,0,7.7,12.7,17.6,6.1,1.77,8.54,"USGS","12179900",7.5,"A",802,"A","2017",6,2017,155
"152",2017-06-05,0,4.3,10.1,15.9,3.2,1.26,10.34,"USGS","12179900",8,"A",675,"A","2017",6,2017,156
"153",2017-06-06,0,4.5,13.6,22.6,3.7,1.49,19.35,"USGS","12179900",8.7,"A",762,"A","2017",6,2017,157
"154",2017-06-07,0,10.5,19.4,28.4,4.9,4.31,31.01,"USGS","12179900",8.9,"A",963,"A","2017",6,2017,158
"155",2017-06-08,0.54,11.6,20,28.5,8.4,2.7,26.17,"USGS","12179900",7.9,"A",1310,"A","2017",6,2017,159
"156",2017-06-09,15.46,7.1,10.9,14.7,8.4,0.7,3.17,"USGS","12179900",7.3,"A",1020,"A","2017",6,2017,160
"157",2017-06-10,1.89,6.4,11.3,16.2,5,0.94,10.09,"USGS","12179900",7.5,"A",704,"A","2017",6,2017,161
"158",2017-06-11,1.1,7.2,10.6,13.9,6,1,7.03,"USGS","12179900",8.1,"A",605,"A","2017",6,2017,162
"159",2017-06-12,0,7.5,13.1,18.8,7.2,1,12.1,"USGS","12179900",7.6,"A",596,"A","2017",6,2017,163
"160",2017-06-13,0.71,7.6,9.9,12.1,7.1,1.16,2.89,"USGS","12179900",7.5,"A",555,"A","2017",6,2017,164
"161",2017-06-14,1.62,7,9.3,11.6,5.1,1.24,5.12,"USGS","12179900",7.7,"A",523,"A","2017",6,2017,165
"162",2017-06-15,0.24,6.4,10.2,14,5.3,1,7.86,"USGS","12179900",7.5,"A",735,"A","2017",6,2017,166
"163",2017-06-16,25.82,7.4,9.7,12,8.8,0.14,2.84,"USGS","12179900",7.8,"A",1100,"A","2017",6,2017,167
"164",2017-06-17,1.83,7,11.9,16.8,6.4,0.4,8.85,"USGS","12179900",7.9,"A",745,"A","2017",6,2017,168
"165",2017-06-18,1.08,7,12.2,17.4,6.8,0.65,9.87,"USGS","12179900",7.8,"A",665,"A","2017",6,2017,169
"166",2017-06-19,3,8.7,11.2,13.8,10.3,0.48,1.66,"USGS","12179900",8.8,"A",779,"A","2017",6,2017,170
"167",2017-06-20,0,10.7,16.1,21.5,11.9,0.95,10.07,"USGS","12179900",8.9,"A",920,"A","2017",6,2017,171
"168",2017-06-21,0.46,8.5,13.4,18.4,7.9,1.94,7.67,"USGS","12179900",8.1,"A",777,"A","2017",6,2017,172
"169",2017-06-22,0,6.1,12,17.9,4.6,1.25,12.04,"USGS","12179900",8.7,"A",645,"A","2017",6,2017,173
"170",2017-06-23,0,5.9,14.6,23.3,5.4,1.33,20.86,"USGS","12179900",9.4,"A",683,"A","2017",6,2017,174
"171",2017-06-24,0,9.4,18.4,27.4,6.3,2.81,25.59,"USGS","12179900",9.8,"A",813,"A","2017",6,2017,175
"172",2017-06-25,0,12.5,22.3,32.1,6.6,5.84,35.65,"USGS","12179900",10.2,"A",954,"A","2017",6,2017,176
"173",2017-06-26,0,14.7,24.6,34.5,7.4,6.93,42.29,"USGS","12179900",9.9,"A",955,"A","2017",6,2017,177
"174",2017-06-27,0,10.6,18,25.5,8,3.35,21.7,"USGS","12179900",9.5,"A",792,"A","2017",6,2017,178
"175",2017-06-28,0,9.6,15.6,21.6,6.8,2.31,15.22,"USGS","12179900",9.7,"A",677,"A","2017",6,2017,179
"176",2017-06-29,0,9.5,15.2,20.8,9.1,1.14,12.9,"USGS","12179900",10.4,"A",677,"A","2017",6,2017,180
"177",2017-06-30,0,10.4,17.9,25.3,10.3,0.89,19.05,"USGS","12179900",10.7,"A",769,"A","2017",6,2017,181
"178",2017-07-01,0,12.2,20.2,28.3,10.6,2.43,24.91,"USGS","12179900",10.5,"A",775,"A","2017",7,2017,182
"179",2017-07-02,0,11.2,17.1,23,9.2,1.99,15.93,"USGS","12179900",10.5,"A",721,"A","2017",7,2017,183
"180",2017-07-03,0,10.3,17.1,23.9,9.3,1.85,16.98,"USGS","12179900",10.5,"A",674,"A","2017",7,2017,184
"181",2017-07-04,0,9.5,15.9,22.3,5.2,2.49,16.6,"USGS","12179900",10.4,"A",607,"A","2017",7,2017,185
