"","Date","ppt..mm.","tmin..degrees.C.","tmean..degrees.C.","tmax..degrees.C.","tdmean..degrees.C.","vpdmin..hPa.","vpdmax..hPa.","agency_cd","site_no","X_00010_00001","X_00010_00001_cd","X_00010_00003","X_00010_00003_cd","X_00060_00003","X_00060_00003_cd","yr","mo","doy"
"152",2017-06-01,0,11,18.6,26.2,9.5,1.3,22,"USGS","13340600",10.6,"A",8.8,"A",15700,"A","2017",6,152
"153",2017-06-02,3.3,10.3,13.9,17.5,10.3,0.93,7.28,"USGS","13340600",9.5,"A",8.4,"A",14200,"A","2017",6,153
"154",2017-06-03,0.01,8.9,16.5,24.1,7.1,1.41,20.87,"USGS","13340600",10.3,"A",9,"A",13200,"A","2017",6,154
"155",2017-06-04,1.17,9.5,20.1,30.6,9.3,1.52,32.06,"USGS","13340600",10.6,"A",10,"A",13100,"A","2017",6,155
"156",2017-06-05,5.62,8.6,16.3,24,9.3,0.31,17.77,"USGS","13340600",10.7,"A",9.8,"A",13300,"A","2017",6,156
"157",2017-06-06,0,7,15,22.9,5.1,0.65,20.01,"USGS","13340600",10.3,"A",9.3,"A",11700,"A","2017",6,157
"158",2017-06-07,0,8.5,18.4,28.3,6.5,3.05,28.78,"USGS","13340600",11.2,"A",10.1,"A",11000,"A","2017",6,158
"159",2017-06-08,1.34,10.9,22.9,34.8,8.7,3.52,45.21,"USGS","13340600",11.4,"A",10.7,"A",11300,"A","2017",6,159
"160",2017-06-09,5.97,8.2,15.8,23.5,9.8,0.68,16.47,"USGS","13340600",10.4,"A",9.6,"A",10700,"A","2017",6,160
"161",2017-06-10,2.58,5.9,11.3,16.7,5.5,0.63,10.36,"USGS","13340600",9.1,"A",8.6,"A",9460,"A","2017",6,161
"162",2017-06-11,3.4,3.1,8.8,14.5,3.4,0.44,9.13,"USGS","13340600",9.7,"A",8.6,"A",8180,"A","2017",6,162
"163",2017-06-12,1.65,3,12.3,21.7,3.7,0.66,18.58,"USGS","13340600",11.1,"A",10.5,"A",7420,"A","2017",6,163
"164",2017-06-13,0,8.3,15.3,22.3,6.4,1.88,16.85,"USGS","13340600",11.3,"A",10.3,"A",7170,"A","2017",6,164
"165",2017-06-14,0,5.3,10.2,15.1,4.5,1.09,8.76,"USGS","13340600",10.5,"A",9,"A",6530,"A","2017",6,165
"166",2017-06-15,0,4.5,12.1,19.7,2.4,1.3,16.49,"USGS","13340600",10.6,"A",10.3,"A",6180,"A","2017",6,166
"167",2017-06-16,12.02,9.6,14.4,19.2,8.5,0.41,11.98,"USGS","13340600",9.9,"A",9.7,"A",7370,"A","2017",6,167
"168",2017-06-17,11.67,9.4,13.3,17.2,9.4,0.79,8.15,"USGS","13340600",10.7,"A",9.8,"A",8270,"A","2017",6,168
"169",2017-06-18,0.04,8.1,14.6,21.2,6.7,0.83,16.25,"USGS","13340600",10.9,"A",10.2,"A",6980,"A","2017",6,169
"170",2017-06-19,0.02,10.3,16.3,22.2,10.8,1.15,13.23,"USGS","13340600",12.5,"A",10.7,"A",6460,"A","2017",6,170
"171",2017-06-20,0,10.7,21.1,31.5,12,0.96,33.74,"USGS","13340600",14.1,"A",13.4,"A",6320,"A","2017",6,171
