"","Date","ppt..mm.","tmin..degrees.C.","tmean..degrees.C.","tmax..degrees.C.","tdmean..degrees.C.","vpdmin..hPa.","vpdmax..hPa.","agency_cd","site_no","X_00010_00001","X_00010_00001_cd","X_00010_00003","X_00010_00003_cd","X_00060_00003","X_00060_00003_cd","yr","mo","waterYear","doy"
"19",2014-06-01,0,5.2,13,20.7,-1.9,2.71,19.52,"USGS","13139510",11.3,"A",9.3,"A",939,"A","2014",6,2014,152
"20",2014-06-02,0,4.6,12.7,20.7,0.7,2.04,17.93,"USGS","13139510",12.4,"A",10,"A",902,"A","2014",6,2014,153
"21",2014-06-03,0,4.1,13.8,23.5,0.5,1.7,22.26,"USGS","13139510",12.8,"A",10.8,"A",951,"A","2014",6,2014,154
"22",2014-06-04,0,7.3,15.4,23.4,-1.1,4.72,22.59,"USGS","13139510",12.6,"A",10.5,"A",1000,"A","2014",6,2014,155
"23",2014-06-05,0,6.1,15.4,24.6,-3.1,4.05,27.08,"USGS","13139510",12.6,"A",10.3,"A",998,"A","2014",6,2014,156
"24",2014-06-06,0,5.2,14.5,23.7,-4,3.95,25.14,"USGS","13139510",12.4,"A",10.2,"A",979,"A","2014",6,2014,157
"25",2014-06-07,0,5,13.9,22.8,-2.9,3.62,23.01,"USGS","13139510",11.9,"A",10.2,"A",939,"A","2014",6,2014,158
"26",2014-06-08,0,6.2,14,21.7,0,3.41,19.62,"USGS","13139510",12.8,"A",10.4,"A",898,"A","2014",6,2014,159
"27",2014-06-09,0,5.7,14,22.2,1.4,2.62,19.87,"USGS","13139510",13.3,"A",11,"A",874,"A","2014",6,2014,160
"28",2014-06-10,0,6.1,15.9,25.8,0,2.8,27.66,"USGS","13139510",13.3,"A",11.1,"A",896,"A","2014",6,2014,161
"29",2014-06-11,0,4.8,14.2,23.7,-3.3,3.67,25.26,"USGS","13139510",12.7,"A",10.6,"A",872,"A","2014",6,2014,162
"30",2014-06-12,0,4,13.3,22.5,-4.7,3.43,22.61,"USGS","13139510",13.1,"A",10.8,"A",811,"A","2014",6,2014,163
"31",2014-06-13,0,5.6,15.9,26.2,-2.6,3.45,29.47,"USGS","13139510",12.7,"A",10.9,"A",799,"A","2014",6,2014,164
"32",2014-06-14,0,3.6,10.1,16.7,-3.1,1.73,15.11,"USGS","13139510",12.3,"A",10,"A",713,"A","2014",6,2014,165
"33",2014-06-15,0,2.8,10.3,17.7,-0.6,1.62,14.88,"USGS","13139510",10.4,"A",9.4,"A",655,"A","2014",6,2014,166
"34",2014-06-16,1.06,3.6,10.3,16.9,1.4,1.5,13.06,"USGS","13139510",9,"A",8.3,"A",641,"A","2014",6,2014,167
"35",2014-06-17,3.09,1.5,6.1,10.7,3.7,0.15,4.72,"USGS","13139510",9.8,"A",8.2,"A",611,"A","2014",6,2014,168
"36",2014-06-18,0,-0.2,6.3,12.7,-1.6,0.23,10.04,"USGS","13139510",10.3,"A",8.3,"A",563,"A","2014",6,2014,169
"37",2014-06-19,3.94,-0.2,6.4,13,2.8,0.08,6.86,"USGS","13139510",13.2,"A",10.1,"A",517,"A","2014",6,2014,170
"38",2014-06-20,0.1,1,12,22.9,1.2,0.52,22.24,"USGS","13139510",15.2,"A",12.2,"A",483,"A","2014",6,2014,171
"39",2014-06-21,0,8.8,17.4,26.1,0.6,4.85,27.81,"USGS","13139510",14,"A",12.1,"A",514,"A","2014",6,2014,172
"40",2014-06-22,0,8.7,16.3,23.8,1.6,5.05,22.86,"USGS","13139510",14.4,"A",12,"A",520,"A","2014",6,2014,173
"41",2014-06-23,0,8.1,16.5,24.9,1.3,4.13,25.32,"USGS","13139510",15,"A",12.1,"A",540,"A","2014",6,2014,174
"42",2014-06-24,0,7.4,16.7,26,1.5,3.48,27.2,"USGS","13139510",14.6,"A",12.4,"A",545,"A","2014",6,2014,175
"43",2014-06-25,0,10,18.6,27.2,3.3,4.66,28.76,"USGS","13139510",13,"A",11.9,"A",552,"A","2014",6,2014,176
"44",2014-06-26,0.66,10.3,16.9,23.6,6.1,1.04,21.49,"USGS","13139510",14,"A",12.1,"A",553,"A","2014",6,2014,177
"45",2014-06-27,0.8,7.7,14.1,20.4,6.9,0.59,14.85,"USGS","13139510",12.7,"A",11.4,"A",558,"A","2014",6,2014,178
"46",2014-06-28,0.62,5.5,11.8,18.1,5.8,0.78,11.6,"USGS","13139510",15.2,"A",11.9,"A",552,"A","2014",6,2014,179
"47",2014-06-29,0,5.9,13.6,21.3,0,1.65,19.92,"USGS","13139510",15.2,"A",12.3,"A",531,"A","2014",6,2014,180
"48",2014-06-30,0,5.1,14.4,23.7,-3,3.23,24.9,"USGS","13139510",15.3,"A",12.4,"A",518,"A","2014",6,2014,181
"49",2014-07-01,0,5.4,15,24.5,-2.7,3.84,25.34,"USGS","13139510",16.3,"A",13.1,"A",500,"A","2014",7,2014,182
"50",2014-07-02,0,7.3,17.2,27,-1.8,4.3,28.48,"USGS","13139510",17,"A",13.9,"A",498,"A","2014",7,2014,183
"51",2014-07-03,0,10.4,20.7,30.9,0,6.73,36.61,"USGS","13139510",15.8,"A",13.7,"A",495,"A","2014",7,2014,184
"52",2014-07-04,0,12.6,21.7,30.8,1.9,7.09,38.01,"USGS","13139510",17.3,"A",14,"A",476,"A","2014",7,2014,185
"53",2014-07-05,0,12.2,22.1,32,1.5,6.89,41.91,"USGS","13139510",17,"A",14.5,"A",466,"A","2014",7,2014,186
"54",2014-07-06,0,13.4,21.9,30.5,-1.8,8.54,38.83,"USGS","13139510",18.1,"A",14.8,"A",440,"A","2014",7,2014,187
"55",2014-07-07,0,13.7,23.1,32.6,-1.4,9.47,43.06,"USGS","13139510",18.6,"A",15.4,"A",419,"A","2014",7,2014,188
"56",2014-07-08,0,13.1,22.8,32.4,1.2,7.84,41.82,"USGS","13139510",18.5,"A",15.6,"A",390,"A","2014",7,2014,189
"57",2014-07-09,0,12.3,22.5,32.7,1.8,6.7,42.65,"USGS","13139510",17.6,"A",15.5,"A",374,"A","2014",7,2014,190
"58",2014-07-10,0,13.9,22.6,31.4,5.4,5.97,36.69,"USGS","13139510",18.6,"A",15.4,"A",363,"A","2014",7,2014,191
"59",2014-07-11,0,13.7,22.4,31,3.4,5.94,38.18,"USGS","13139510",18.4,"A",15.7,"A",343,"A","2014",7,2014,192
"60",2014-07-12,0,13.5,22.4,31.3,5.2,5.77,36.97,"USGS","13139510",18.7,"A",16,"A",329,"A","2014",7,2014,193
"61",2014-07-13,0,14.2,22.2,30.2,6.9,5.17,33.46,"USGS","13139510",19.7,"A",16.2,"A",317,"A","2014",7,2014,194
"62",2014-07-14,0,14.2,23.4,32.7,5.1,5.55,40.1,"USGS","13139510",19.6,"A",16.7,"A",299,"A","2014",7,2014,195
"63",2014-07-15,0,14.2,24.5,34.8,4.3,7.21,48.86,"USGS","13139510",20,"A",16.6,"A",288,"A","2014",7,2014,196
"64",2014-07-16,0,13.9,22.8,31.6,4.7,6.66,39.67,"USGS","13139510",19.9,"A",16.8,"A",271,"A","2014",7,2014,197
"65",2014-07-17,0,13.7,21.4,29.1,4.9,6.64,30.67,"USGS","13139510",17.8,"A",16,"A",259,"A","2014",7,2014,198
"66",2014-07-18,0,12.5,21.5,30.5,3.9,6.45,36.25,"USGS","13139510",18.9,"A",15.7,"A",247,"A","2014",7,2014,199
"67",2014-07-19,0,12,21.5,31,-2.8,6.2,40.3,"USGS","13139510",19.5,"A",16,"A",233,"A","2014",7,2014,200
"68",2014-07-20,0,11.9,21.4,31,0.7,7.15,38.62,"USGS","13139510",19,"A",16.2,"A",224,"A","2014",7,2014,201
"69",2014-07-21,0.78,12.3,21,29.6,4.5,3.44,34.13,"USGS","13139510",18,"A",16.3,"A",220,"A","2014",7,2014,202
"70",2014-07-22,0,11,17.9,24.7,8.4,1.73,21.09,"USGS","13139510",18.8,"A",15.8,"A",226,"A","2014",7,2014,203
"71",2014-07-23,0,10.4,19.1,27.7,5.4,2.08,27.15,"USGS","13139510",19.1,"A",16.1,"A",213,"A","2014",7,2014,204
"72",2014-07-24,0,11.5,20.4,29.3,2.6,6.06,31.9,"USGS","13139510",18.5,"A",15.5,"A",203,"A","2014",7,2014,205
"73",2014-07-25,0,5.8,14.8,23.8,-5.5,4.55,25.79,"USGS","13139510",18,"A",14.6,"A",197,"A","2014",7,2014,206
"74",2014-07-26,0,4.9,15.8,26.7,-6.3,4.92,30.67,"USGS","13139510",18.8,"A",15,"A",191,"A","2014",7,2014,207
"75",2014-07-27,0,8.7,19.1,29.4,-5.6,7.18,35.41,"USGS","13139510",19.6,"A",15.8,"A",182,"A","2014",7,2014,208
"76",2014-07-28,0,11.3,21.4,31.5,-2.9,8.71,39.58,"USGS","13139510",17,"A",15.7,"A",175,"A","2014",7,2014,209
"77",2014-07-29,0,14.4,20.7,27.1,5,5.78,27.39,"USGS","13139510",18.4,"A",15.5,"A",183,"A","2014",7,2014,210
"78",2014-07-30,3.82,13.6,20.5,27.4,9.1,2.52,25.37,"USGS","13139510",18.7,"A",15.3,"A",196,"A","2014",7,2014,211
"79",2014-07-31,4.63,10.7,18.4,26,9,1.61,21.23,"USGS","13139510",18.2,"A",15.1,"A",229,"A","2014",7,2014,212
"80",2014-08-01,0.02,10.8,19.1,27.4,8.8,2.47,25.63,"USGS","13139510",18.1,"A",15.6,"A",234,"A","2014",8,2014,213
"81",2014-08-02,1.61,13,20.3,27.6,8.5,3.22,27.62,"USGS","13139510",19.8,"A",16.4,"A",218,"A","2014",8,2014,214
"82",2014-08-03,0,13.6,21.2,28.8,7.7,5.01,28.97,"USGS","13139510",20.4,"A",16.7,"A",205,"A","2014",8,2014,215
"83",2014-08-04,1.79,14.1,22.4,30.7,8.1,5.07,33.66,"USGS","13139510",17.4,"A",15.7,"A",204,"A","2014",8,2014,216
"84",2014-08-05,0,13.2,18,22.7,11.7,1.95,14.65,"USGS","13139510",18.6,"A",16.2,"A",202,"A","2014",8,2014,217
"85",2014-08-06,7.33,12.6,17.5,22.3,13.7,0.04,12.1,"USGS","13139510",16.8,"A",15.4,"A",211,"A","2014",8,2014,218
